Field1,Text,Text1,Text2
"PlanB
@100trillionUSD
·
3 de out
Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. by Christmas 2021?
$500K
6,7%
$288K
15,8%
$100K
47,9%
Bitcoin stays below $100K
29,6%
171.879 votos
·
Resultados finais
748
1 mil
5,6 mil","Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. by Christmas 2021?",@100trillionUSD,3 de out
"PlanB
@100trillionUSD
·
11 de set
Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. by Christmas 2021?
$500K
6,3%
$288K
15,3%
$100K
45,7%
Bitcoin stays below $100K
32,7%
123.410 votos
·
Resultados finais
544
559
2,9 mil","Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. by Christmas 2021?",@100trillionUSD,11 de set
"PlanB
@100trillionUSD
·
7 de set
43k
979
1,5 mil
16 mil",43k,@100trillionUSD,7 de set
"PlanB
@100trillionUSD
·
15 de ago
Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. before December 2021?
$500K
7,1%
$288K
20,4%
$100K
45,9%
BTC will stay below $100K
26,5%
91.038 votos
·
Resultados finais
396
416
2,1 mil","Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. before December 2021?",@100trillionUSD,15 de ago
"PlanB
@100trillionUSD
·
1 de jul
So was $64K the top for this cycle (halving 2020-2024)?

Or .. are we in a mid-cycle dip, will the bull market resume and will we see a higher ATH .. this cycle?
$64K was the top
16,3%
$64K was NOT the top
63,1%
I don't know show results
20,6%
83.666 votos
·
Resultados finais
315
324
1,8 mil","So was $64K the top for this cycle (halving 2020-2024)?

Or .. are we in a mid-cycle dip, will the bull market resume and will we see a higher ATH .. this cycle?",@100trillionUSD,1 de jul
"PlanB
@100trillionUSD
·
21 de jun
Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. before December 2021?
$500K
6,4%
$288K
16,6%
$100K
36,3%
BTC will stay below $100K
40,7%
124.595 votos
·
Resultados finais
604
525
2,5 mil","Do you think #bitcoin will reach $500K, $288K (S2FX model), $100K (S2F model), or will BTC stay below $100K .. before December 2021?",@100trillionUSD,21 de jun
"PlanB
@100trillionUSD
·
17 de mai
So .. with 
@elonmusk
 aiming to destroy #bitcoin .. do you think BTC will reach $500K, $288K (S2FX model) or $100K (S2F model) before December 2021 .. or will BTC stay below $100K?
>$500K
7,9%
>$288K
22%
>$100K
44,6%
Bitcoin stays below $100K
25,4%
99.145 votos
·
Resultados finais
461
428
2,2 mil","So .. with 
@elonmusk
 aiming to destroy #bitcoin .. do you think BTC will reach $500K, $288K (S2FX model) or $100K (S2F model) before December 2021 .. or will BTC stay below $100K?",@100trillionUSD,17 de mai
"PlanB
@100trillionUSD
·
7 de mai
You never see a #bitcoin airdrop, giveaway scam etc. There is a reason for that.
175
351
3,9 mil","You never see a #bitcoin airdrop, giveaway scam etc. There is a reason for that.",@100trillionUSD,7 de mai
"PlanB
@100trillionUSD
·
16 de abr
Please report these impersonators 
@100trillionUSD1

 (extra ""1"") and 
@100triIIionUSD
 (2x capital ""i"" instead of  ""l"")

These scammers are pretending to be me and DM people to steal their bitcoin

How to recognize scammers:
- twitter name/handle 1 character off
- low follower count
99
77
728","Please report these impersonators 
@100trillionUSD1

 (extra ""1"") and 
@100triIIionUSD
 (2x capital ""i"" instead of  ""l"")

These scammers are pretending to be me and DM people to steal their bitcoin

How to recognize scammers:
- twitter name/handle 1 character off
- low follower count",@100trillionUSD,16 de abr
"PlanB
@100trillionUSD
·
28 de mar
Would you rather have volatile money that increases in purchasing power, or stable currency that is guaranteed to go down in purchasing power?
Volatile,increasing value
83,9%
Stable,decreasing value
4,5%
I don't know, show result
11,6%
25.667 votos
·
Resultados finais
165
239
866","Would you rather have volatile money that increases in purchasing power, or stable currency that is guaranteed to go down in purchasing power?",@100trillionUSD,28 de mar
