Field1,Text,Text1,Text2
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
6 h
$62K is the new $200.
6
4
69",$62K is the new $200.,@BVBTC,6 h
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
17 de out
UP ONLY #BITCOIN            
            
       

         
        
      
   (₿)    
   
   
   
   
    
     
     
      
     
       
3
23
120","UP ONLY #BITCOIN            
            
       

         
        
      
   (₿)    
   
   
   
   
    
     
     
      
     
       ",@BVBTC,17 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
17 de out
Life may be like a box of chocolates, 
but Bitcoin ain’t no box of brownies.
3
4
40","Life may be like a box of chocolates, 
but Bitcoin ain’t no box of brownies.",@BVBTC,17 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
17 de out
“It ain’t what you don’t know that gets you into trouble. It’s what you know for sure that just ain’t so.” -Mark Twain after hearing Mark Cuban in a Twitter Space
6
85",“It ain’t what you don’t know that gets you into trouble. It’s what you know for sure that just ain’t so.” -Mark Twain after hearing Mark Cuban in a Twitter Space,@BVBTC,17 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
16 de out
First word that pops into your head when you hear “Bitcoin.” Go.
121
9
73",First word that pops into your head when you hear “Bitcoin.” Go.,@BVBTC,16 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
16 de out
GM Bitcoiners and future Bitcoiners
28",GM Bitcoiners and future Bitcoiners,@BVBTC,16 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
15 de out
Who is your favorite YouTuber that makes content completely unrelated to Bitcoin?
85
1
44",Who is your favorite YouTuber that makes content completely unrelated to Bitcoin?,@BVBTC,15 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
15 de out
I’ve got such a great peter Schiff tweet ready to go. Just waiting for that ATH… come on Bitcoin let’s go. You can do it.
10
1
99",I’ve got such a great peter Schiff tweet ready to go. Just waiting for that ATH… come on Bitcoin let’s go. You can do it.,@BVBTC,15 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
13 de out
You might be a Bitcoiner if ______________ .
42
2
20",You might be a Bitcoiner if ______________ .,@BVBTC,13 de out
"Brekkie von #BitcoinIsForEveryone
@BVBTC
·
13 de out
Approximately every 10 minutes, 6.25 new bitcoin enter circulation. That’s only about 900 new bitcoin per day.

On approximately May 9th, 2024 that halves to 3.125 new bitcoin every ~10mins or 450 new bitcoin per day.

Stack accordingly.

Inflation is NOT transitory.
5
16
91","Approximately every 10 minutes, 6.25 new bitcoin enter circulation. That’s only about 900 new bitcoin per day.

On approximately May 9th, 2024 that halves to 3.125 new bitcoin every ~10mins or 450 new bitcoin per day.

Stack accordingly.

Inflation is NOT transitory.",@BVBTC,13 de out
