Field1,Text,Text1,Text2
"CoinDesk
@CoinDesk
·
7 de out
COMING UP: Executive editor 
@MarcHochstein
 invites 
@CoinDeskData
's 
@gckaloudis
 and 
@TedDeFi
 to explore why $SOL, $AVAX, $MATIC and other DeFi projects made Q3 the Summer of Scalability - among many insights in their latest quarterly report.

Join our Twitter Spaces at 1 p.m. ET.
21
10
49","COMING UP: Executive editor 
@MarcHochstein
 invites 
@CoinDeskData
's 
@gckaloudis
 and 
@TedDeFi
 to explore why $SOL, $AVAX, $MATIC and other DeFi projects made Q3 the Summer of Scalability - among many insights in their latest quarterly report.

Join our Twitter Spaces at 1 p.m. ET.",@CoinDesk,7 de out
"CoinDesk
@CoinDesk
·
7 de out
TODAY: Why was Q3 the summer of scalability? 


@CoinDeskData
's 
@gckaloudis
 and 
@TedDeFi
 will chat with 
@MarcHochstein
 about how $SOL, $AVAX, $MATIC and other projects took the DeFi world by storm.

Join our Twitter Spaces at 1 p.m. ET.
30
25
124","TODAY: Why was Q3 the summer of scalability? 


@CoinDeskData
's 
@gckaloudis
 and 
@TedDeFi
 will chat with 
@MarcHochstein
 about how $SOL, $AVAX, $MATIC and other projects took the DeFi world by storm.

Join our Twitter Spaces at 1 p.m. ET.",@CoinDesk,7 de out
"CoinDesk
@CoinDesk
·
1 de set
Solana and BridgeTower Capital have formed a $20 million investment fund.

#cryptocurrencynews #investments
54
55
178","Solana and BridgeTower Capital have formed a $20 million investment fund.

#cryptocurrencynews #investments",@CoinDesk,1 de set
"CoinDesk
@CoinDesk
·
19 de ago
Venture capital firm 
@fintech_io
  has raised $250 million, which will be used to support its new strategy focused on decentralized finance (DeFi).

By 
@Tanzeel_Akhtar
20
27
137","Venture capital firm 
@fintech_io
  has raised $250 million, which will be used to support its new strategy focused on decentralized finance (DeFi).

By 
@Tanzeel_Akhtar",@CoinDesk,19 de ago
"CoinDesk
@CoinDesk
·
4 de ago
COUNTDOWN TO LONDON: In less than 24 hours, the London hard fork upgrade is going live on #Ethereum. It contains 5 code changes including Ethereum's fee market change dubbed EIP 1559, as well as 4 additional Ethereum Improvement Proposals.

More information below 
83
249
765
Mostrar esta sequência","COUNTDOWN TO LONDON: In less than 24 hours, the London hard fork upgrade is going live on #Ethereum. It contains 5 code changes including Ethereum's fee market change dubbed EIP 1559, as well as 4 additional Ethereum Improvement Proposals.

More information below ",@CoinDesk,4 de ago
"CoinDesk
@CoinDesk
·
3 de jun
Crypto credit data company Credmark has raised $5.5 million in a bid to create a platform for risk modeling DeFi protocols.
17
22
176",Crypto credit data company Credmark has raised $5.5 million in a bid to create a platform for risk modeling DeFi protocols.,@CoinDesk,3 de jun
"CoinDesk
@CoinDesk
·
21 de mai
To track down illegal crypto mining, Iran has turned to its intelligence network.

Via 
@JamieCrawleyCD
 Jamiehttps://trib.al/YeEnITM
33
26
144","To track down illegal crypto mining, Iran has turned to its intelligence network.

Via 
@JamieCrawleyCD
 Jamiehttps://trib.al/YeEnITM",@CoinDesk,21 de mai
"CoinDesk
@CoinDesk
·
20 de abr
Poll: How much crypto was stolen via scams, hacks and fraud last year?
$650 million (in $USD)
30,1%
$1.2 billion
20,3%
$1.9 billion
16,4%
$5 billion
33,2%
5.794 votos
·
Resultados finais
86
33
141
Mostrar esta sequência","Poll: How much crypto was stolen via scams, hacks and fraud last year?",@CoinDesk,20 de abr
"CoinDesk
@CoinDesk
·
25 de mar
Thought your digital cats were safe from Uncle Sam? Guess again.
14
19
157",Thought your digital cats were safe from Uncle Sam? Guess again.,@CoinDesk,25 de mar
"CoinDesk
@CoinDesk
·
15 de jan
Indian police have seized #bitcoin worth around $1.2 million from a Bangalore-based hacker who reportedly managed to breach poker websites and crypto exchanges.

#cryptonews #crime #hacks #India
8
33
136","Indian police have seized #bitcoin worth around $1.2 million from a Bangalore-based hacker who reportedly managed to breach poker websites and crypto exchanges.

#cryptonews #crime #hacks #India",@CoinDesk,15 de jan
"CoinDesk
@CoinDesk
·
14 de dez de 2020
Square Crypto has issued yet another grant. This time, it's going to a #Bitcoin designer to research how to improve Bitcoin software user experience and interfaces.

@patestevao
 
@sqcrypto


By 
@AsILayHodling
4
16
84","Square Crypto has issued yet another grant. This time, it's going to a #Bitcoin designer to research how to improve Bitcoin software user experience and interfaces.

@patestevao
 
@sqcrypto


By 
@AsILayHodling",@CoinDesk,14 de dez de 2020
"CoinDesk
@CoinDesk
·
25 de nov de 2020
Will #bitcoin pass $20K this week? 
Yes, it's the new normal
45,8%
Yes, it'll peak & retract
28,8%
No
21,9%
Other
3,5%
3.471 votos
·
Resultados finais
16
13
63",Will #bitcoin pass $20K this week? ,@CoinDesk,25 de nov de 2020
"CoinDesk
@CoinDesk
·
19 de nov de 2020
CoinDesk is having technical issues. The tech team is working on getting the site back to normal asap. We apologize for the inconvenience
12
19
71",CoinDesk is having technical issues. The tech team is working on getting the site back to normal asap. We apologize for the inconvenience,@CoinDesk,19 de nov de 2020
"CoinDesk
@CoinDesk
·
5 de out de 2020
Poll: What makes for good blockchain education at universities?
Number of class offerings
18,9%
Active blockchain clubs
31,4%
Industry connections
38,1%
Institution reputation
11,6%
370 votos
·
Resultados finais
10
9
21
Mostrar esta sequência",Poll: What makes for good blockchain education at universities?,@CoinDesk,5 de out de 2020
"CoinDesk
@CoinDesk
·
27 de ago de 2020
What should the #FederalReserve's chief priority be today?
Control inflation
34,9%
Support job creation
37,1%
Something else
28%
879 votos
·
Resultados finais
8
2
13
Mostrar esta sequência",What should the #FederalReserve's chief priority be today?,@CoinDesk,27 de ago de 2020
"CoinDesk
@CoinDesk
·
27 de ago de 2020
Should the 
@federalreserve
 raise or lower its interest rate from the current 0.25%?

#FOMC
Raise
35,7%
Lower
39,4%
Stay the same
24,8%
943 votos
·
Resultados finais
9
9
15
Mostrar esta sequência","Should the 
@federalreserve
 raise or lower its interest rate from the current 0.25%?

#FOMC",@CoinDesk,27 de ago de 2020
"CoinDesk
@CoinDesk
·
15 de mai de 2020
#ICYMI:

CoinDesk published special #longform this week to celebrate #ConsensusDistributed and New York Blockchain Week. 

We call it the Consensus Magazine: Pre-pandemic, this stuff would have lived between covers. 

[spool] [down]
1
2
6
Mostrar esta sequência","#ICYMI:

CoinDesk published special #longform this week to celebrate #ConsensusDistributed and New York Blockchain Week. 

We call it the Consensus Magazine: Pre-pandemic, this stuff would have lived between covers. 

[spool] [down]",@CoinDesk,15 de mai de 2020
"CoinDesk
@CoinDesk
·
11 de mai de 2020
What was your highlight on #ConsensusDistributed Day 1?
Money Reimagined
8,6%
Happy Hour show
2,9%
Bitcoin halving watch
66,7%
Something elae
21,9%
210 votos
·
Resultados finais
4
2
6",What was your highlight on #ConsensusDistributed Day 1?,@CoinDesk,11 de mai de 2020
"CoinDesk
@CoinDesk
·
8 de mai de 2020
MARKET WRAP: FOMO is fueling bitcoin, but professional traders are using derivatives to hedge a potential price drop post-halving. “New money is driving us higher ahead of the halving and professionals will push us lower afterwards,” said one analyst. 

Report by 
@danielcawrey
…
3
14
46","MARKET WRAP: FOMO is fueling bitcoin, but professional traders are using derivatives to hedge a potential price drop post-halving. “New money is driving us higher ahead of the halving and professionals will push us lower afterwards,” said one analyst. 

Report by 
@danielcawrey
…",@CoinDesk,8 de mai de 2020
"CoinDesk
@CoinDesk
·
15 de abr de 2020
Poll: U.S. taxpayers have begun receiving stimulus checks. What would you do with yours?
Pay debt, bills, expenses
24,6%
Buy crypto, bonds, assets
48,6%
Keep as cash on hand
18,3%
Something else
8,5%
1.556 votos
·
Resultados finais
14
9
22
Mostrar esta sequência",Poll: U.S. taxpayers have begun receiving stimulus checks. What would you do with yours?,@CoinDesk,15 de abr de 2020
"CoinDesk
@CoinDesk
·
30 de mar de 2020
Poll: Should you stock up on banknotes in a recession? 

Yes
29%
No
49,8%
It depends
21,2%
1.835 votos
·
Resultados finais
6
9
11
Mostrar esta sequência","Poll: Should you stock up on banknotes in a recession? 
",@CoinDesk,30 de mar de 2020
"CoinDesk
@CoinDesk
·
23 de mar de 2020
Poll: A coronavirus economic relief bill being finalized by the U.S. Congress may include a one-time $3,000 payment for families. What payment method should the U.S. use to dole out #COVID19 aid to families?
Mail a check
10,8%
Direct deposit
54,1%
Stablecoin transfer
28,9%
Something else
6,3%
2.598 votos
·
Resultados finais
30
30
44
Mostrar esta sequência","Poll: A coronavirus economic relief bill being finalized by the U.S. Congress may include a one-time $3,000 payment for families. What payment method should the U.S. use to dole out #COVID19 aid to families?",@CoinDesk,23 de mar de 2020
"CoinDesk
@CoinDesk
·
16 de mar de 2020
Plunging stock prices triggered a “circuit breaker” today, slowing that market from going into freefall. After last week’s #marketcrash, when the bitcoin price fell 31.5%, the question beckons: 

Do cryptocurrency markets need circuit breakers, too? 


Yes
23,4%
No
69,7%
It depends
6,9%
1.317 votos
·
Resultados finais
12
12
35
Mostrar esta sequência","Plunging stock prices triggered a “circuit breaker” today, slowing that market from going into freefall. After last week’s #marketcrash, when the bitcoin price fell 31.5%, the question beckons: 

Do cryptocurrency markets need circuit breakers, too? 

",@CoinDesk,16 de mar de 2020
"CoinDesk
@CoinDesk
·
16 de mar de 2020
What concerns you most in #coronapocolypse?
Public or personal health
35,2%
The economy, jobs
30,9%
The markets, my finances
26,6%
Something else
7,3%
1.487 votos
·
Resultados finais
6
13
21",What concerns you most in #coronapocolypse?,@CoinDesk,16 de mar de 2020
"CoinDesk
@CoinDesk
·
15 de mar de 2020
Desperate times are calling for desperate measures. Here are some collective efforts, information and advice to battle coronavirus (share your resources): 

Feat. 
@brucefenton
 
@endcovid
 
@laurashin
 
@labor_attorneys
 
@aantonop
 
@singularityhub
 - TBC
11
22
71
Mostrar esta sequência","Desperate times are calling for desperate measures. Here are some collective efforts, information and advice to battle coronavirus (share your resources): 

Feat. 
@brucefenton
 
@endcovid
 
@laurashin
 
@labor_attorneys
 
@aantonop
 
@singularityhub
 - TBC",@CoinDesk,15 de mar de 2020
