Field1,Text,Text1,Text2
"Cointimes
@CointimesNews
·
15 de out
A CVM dos EUA está para aprovar um ETF de futuros de #Bitcoin, diz relatório da Bloomberg.

BTC decola para quase US$ 60.000 
1
6
34","A CVM dos EUA está para aprovar um ETF de futuros de #Bitcoin, diz relatório da Bloomberg.

BTC decola para quase US$ 60.000 ",@CointimesNews,15 de out
"Cointimes
@CointimesNews
·
14 de out
Preço do #Bitcoin, segundo o 
@coingolive
: 
US$ 58.021 

Próximas resistências:
US$ 58.000
US$ 60.000

Suporte significativo:
US$ 50.000

Análise baseada no indicador RSI, fonte: Coindesk.
1
17","Preço do #Bitcoin, segundo o 
@coingolive
: 
US$ 58.021 

Próximas resistências:
US$ 58.000
US$ 60.000

Suporte significativo:
US$ 50.000

Análise baseada no indicador RSI, fonte: Coindesk.",@CointimesNews,14 de out
"Cointimes
@CointimesNews
·
6 de out
O que levou o #Bitcoin a subir para mais de R$ 300.000 nesta quarta-feira?

Segue o fio para para saber a opinião de especialistas.
4
1
15
Mostrar esta sequência","O que levou o #Bitcoin a subir para mais de R$ 300.000 nesta quarta-feira?

Segue o fio para para saber a opinião de especialistas.",@CointimesNews,6 de out
"Cointimes
@CointimesNews
·
5 de out
A 12 anos atrás, o #Bitcoin  teve seu primeiro preço: 1.300 BTC por 1 dólar.

A bolsa New Liberty Standard foi a que estabeleceu o primeiro preço da moeda em 05 de outubro de 2009. 

O Bitcoin, então, só foi atingir o equivalente a um dólar em 9 de fevereiro de 2011.
2
5
22
Mostrar esta sequência","A 12 anos atrás, o #Bitcoin  teve seu primeiro preço: 1.300 BTC por 1 dólar.

A bolsa New Liberty Standard foi a que estabeleceu o primeiro preço da moeda em 05 de outubro de 2009. 

O Bitcoin, então, só foi atingir o equivalente a um dólar em 9 de fevereiro de 2011.",@CointimesNews,5 de out
"Cointimes
@CointimesNews
·
21 de set
Você sempre acompanha as suas transações de #bitcoin por meio de um explorador de blocos online? Cuidado, isso é péssimo para a sua privacidade.
1
1
14
Mostrar esta sequência","Você sempre acompanha as suas transações de #bitcoin por meio de um explorador de blocos online? Cuidado, isso é péssimo para a sua privacidade.",@CointimesNews,21 de set
"Cointimes
@CointimesNews
·
13 de set
Depois de abrir vaga para ‘especialista de cripto’ para desenvolver produtos e estratégias, a Walmart fecha uma grande parceria com Litecoin (#LTC).
2
1
8
Mostrar esta sequência","Depois de abrir vaga para ‘especialista de cripto’ para desenvolver produtos e estratégias, a Walmart fecha uma grande parceria com Litecoin (#LTC).",@CointimesNews,13 de set
"Cointimes
@CointimesNews
·
6 de set
El Salvador acaba de anunciar a compra de 200 #BTC (cerca de $10 milhões), se tornando o primeiro Estado a comprar bitcoin.

O país se prepara para a distribuição de $30 para cada cidadão que baixar a carteira oficial do país, Chivo wallet.
4
31
273
Mostrar esta sequência","El Salvador acaba de anunciar a compra de 200 #BTC (cerca de $10 milhões), se tornando o primeiro Estado a comprar bitcoin.

O país se prepara para a distribuição de $30 para cada cidadão que baixar a carteira oficial do país, Chivo wallet.",@CointimesNews,6 de set
"Cointimes
@CointimesNews
·
4 de ago
""O #Bitcoin  parece ter construído uma base em torno de US$ 30.000 que é semelhante a US$ 4.000 no início de 2019, e vemos paralelos de desempenho que poderiam colocar a cripto de volta nos trilhos para US$ 100.000"" - afirma o Analista da Bloomberg Intelligence Mike McGlone
3
20","""O #Bitcoin  parece ter construído uma base em torno de US$ 30.000 que é semelhante a US$ 4.000 no início de 2019, e vemos paralelos de desempenho que poderiam colocar a cripto de volta nos trilhos para US$ 100.000"" - afirma o Analista da Bloomberg Intelligence Mike McGlone",@CointimesNews,4 de ago
"Cointimes
@CointimesNews
·
25 de jun
O crescimento do #Bitcoin representa um ativo sendo monetizado de 0 a relevância global em um curto período de tempo.

Se você comprasse há exatamente...
1 ano, teria +249% de retorno
2 anos: +184%
3 anos: +419%
4 anos: +1,158%
5 anos: +4,702%
6 anos: +13,196%
7 anos: +5,554%
5
8
27
Mostrar esta sequência","O crescimento do #Bitcoin representa um ativo sendo monetizado de 0 a relevância global em um curto período de tempo.

Se você comprasse há exatamente...
1 ano, teria +249% de retorno
2 anos: +184%
3 anos: +419%
4 anos: +1,158%
5 anos: +4,702%
6 anos: +13,196%
7 anos: +5,554%",@CointimesNews,25 de jun
"Cointimes
@CointimesNews
·
16 de jun
Em vez de olhar para as máximas anuais do #bitcoin, preste atenção nos menores preços atingidos pelo #BTC:

2011: $0,30
2012: $4
2013: $65
2014: $200
2015: $185
2016: $365
2017: $780
2018: $3.200
2019: $3.400
2020: $4.000
2021: $28.000
2
8
82","Em vez de olhar para as máximas anuais do #bitcoin, preste atenção nos menores preços atingidos pelo #BTC:

2011: $0,30
2012: $4
2013: $65
2014: $200
2015: $185
2016: $365
2017: $780
2018: $3.200
2019: $3.400
2020: $4.000
2021: $28.000",@CointimesNews,16 de jun
"Cointimes
@CointimesNews
·
12 de mai
Com a inflação atual de cada país, em quanto tempo você perde 50% do seu poder de compra guardando dinheiro debaixo do colchão?

Turquia, 17%: 4 anos
Brasil, 6,8%: 10 anos
Polônia, 4,3%: 16 anos
EUA, 2,6%: 26 anos

Fonte: 
@ecoinometrics
1
9","Com a inflação atual de cada país, em quanto tempo você perde 50% do seu poder de compra guardando dinheiro debaixo do colchão?

Turquia, 17%: 4 anos
Brasil, 6,8%: 10 anos
Polônia, 4,3%: 16 anos
EUA, 2,6%: 26 anos

Fonte: 
@ecoinometrics",@CointimesNews,12 de mai
"Cointimes
@CointimesNews
·
12 de mar
Há exatamente 1 ano:

#Bitcoin: R$ 25.600
Ethereum: R$ 584
Litecoin: R$ 156

Você aproveitou a baixa de 12/03/2020?
1
2
29","Há exatamente 1 ano:

#Bitcoin: R$ 25.600
Ethereum: R$ 584
Litecoin: R$ 156

Você aproveitou a baixa de 12/03/2020?",@CointimesNews,12 de mar
"Cointimes
@CointimesNews
·
10 de mar
Se convertida em #Bitcoin, a primeira parcela de R$600 do auxílio emergencial, paga em abril, valeria hoje R$5.358.

O dólar valia R$5,20 (R$600 = US$115,38).

Hoje, os mesmos seiscentos reais comprariam apenas cerca de 106,19 dólares, uma queda de quase 8%.
1
4
31","Se convertida em #Bitcoin, a primeira parcela de R$600 do auxílio emergencial, paga em abril, valeria hoje R$5.358.

O dólar valia R$5,20 (R$600 = US$115,38).

Hoje, os mesmos seiscentos reais comprariam apenas cerca de 106,19 dólares, uma queda de quase 8%.",@CointimesNews,10 de mar
"Cointimes
@CointimesNews
·
8 de jan
Maiores ativos do mundo em capitalização de mercado:

1 - Apple
2 - Saudi Aramco
3 - Microsoft
4 - Amazon
5 - Alphabet A
6 - Tesla
7 - Facebook
8 - #Bitcoin 
9 - Tencent
10 - Alibaba

Fonte: 
@assetdash
1
5
20","Maiores ativos do mundo em capitalização de mercado:

1 - Apple
2 - Saudi Aramco
3 - Microsoft
4 - Amazon
5 - Alphabet A
6 - Tesla
7 - Facebook
8 - #Bitcoin 
9 - Tencent
10 - Alibaba

Fonte: 
@assetdash",@CointimesNews,8 de jan
"Cointimes
@CointimesNews
·
7 de jan
3 razões para continuar otimista com o #Bitcoin :

- Bolha de Biden: democratas vão estimular mais a economia imprimindo trilhões de dólares

- Brasil está quebrado

- Taproot pode criar FOMO absurdo como o fork em 2017 ou maior
1
3
24","3 razões para continuar otimista com o #Bitcoin :

- Bolha de Biden: democratas vão estimular mais a economia imprimindo trilhões de dólares

- Brasil está quebrado

- Taproot pode criar FOMO absurdo como o fork em 2017 ou maior",@CointimesNews,7 de jan
"Cointimes
@CointimesNews
·
12 de nov de 2020
Mesmo em período de testes, o Pix surpreendeu apresentando volume diário de R$ 50 milhões com 135 mil transações. O valor é apenas 0,03% do volume diário do Bitcoin no mundo, mas 69% do volume de btc no Brasil.
1","Mesmo em período de testes, o Pix surpreendeu apresentando volume diário de R$ 50 milhões com 135 mil transações. O valor é apenas 0,03% do volume diário do Bitcoin no mundo, mas 69% do volume de btc no Brasil.",@CointimesNews,12 de nov de 2020
"Cointimes
@CointimesNews
·
10 de nov de 2020
Desempenho em 2020:

Square +179%
#Bitcoin +113%
PayPal +69%
MicroStrategy +29%

Enquanto isso, os bancos brasileiros na B3:

Banco Inter +25%
BTG Pactual 0%
Itaú -15%
Banco Pan -19%
Bradesco -25%
Santander -27%
Banco ABC -30%
Banco do Brasil -33%
Barisul -38%
1
3","Desempenho em 2020:

Square +179%
#Bitcoin +113%
PayPal +69%
MicroStrategy +29%

Enquanto isso, os bancos brasileiros na B3:

Banco Inter +25%
BTG Pactual 0%
Itaú -15%
Banco Pan -19%
Bradesco -25%
Santander -27%
Banco ABC -30%
Banco do Brasil -33%
Barisul -38%",@CointimesNews,10 de nov de 2020
"Cointimes
@CointimesNews
·
28 de out de 2020
Algumas características relevantes do #bitcoin :

- Descentralizado
- Digital
- Deflacionário
- Independe de instituições ou governos
- P2P
- Transparente
- Escasso
- Sem requisitos
2
3
5","Algumas características relevantes do #bitcoin :

- Descentralizado
- Digital
- Deflacionário
- Independe de instituições ou governos
- P2P
- Transparente
- Escasso
- Sem requisitos",@CointimesNews,28 de out de 2020
"Cointimes
@CointimesNews
·
27 de out de 2020
Veja o top 5 ativos que os millenials mais guardam pensando no longo prazo.

Amazon 7,87%
Tesla 3,22%
Facebook 3,03%
Apple 6,18%
Bitcoin 1,84%

Fonte: Charles Schwab Company.
1
5","Veja o top 5 ativos que os millenials mais guardam pensando no longo prazo.

Amazon 7,87%
Tesla 3,22%
Facebook 3,03%
Apple 6,18%
Bitcoin 1,84%

Fonte: Charles Schwab Company.",@CointimesNews,27 de out de 2020
"Cointimes
@CointimesNews
·
19 de out de 2020
Dica: se você usar uma carteira com Segwit, pode economizar em até 58% nas taxas de transação.
2
3
7","Dica: se você usar uma carteira com Segwit, pode economizar em até 58% nas taxas de transação.",@CointimesNews,19 de out de 2020
"Cointimes
@CointimesNews
·
14 de out de 2020
A dominância do #Bitcoin  é calculada como a razão entre o valor de mercado do BTC pelo valor de mercado de todas as criptomoedas. Mas qual foi essa proporção ao final de cada ano?

2013: 87%
2014: 77%
2015: 92%
2016: 87%
2017: 38%
2018: 51%
2019: 68%
2020 até hoje: 58%
6","A dominância do #Bitcoin  é calculada como a razão entre o valor de mercado do BTC pelo valor de mercado de todas as criptomoedas. Mas qual foi essa proporção ao final de cada ano?

2013: 87%
2014: 77%
2015: 92%
2016: 87%
2017: 38%
2018: 51%
2019: 68%
2020 até hoje: 58%",@CointimesNews,14 de out de 2020
