Field1,Text,Text1,Text2
"cobie
@CryptoCobain
·
17 h
Me vs 
@udiWertheimer
 next Dubai boxing fight
65
16
1,1 mil",@CryptoCobain,"Me vs 
@udiWertheimer
 next Dubai boxing fight",17 h
"cobie
@CryptoCobain
·
20 h
Dm Loomdart for refunds
37
23
995",@CryptoCobain,Dm Loomdart for refunds,20 h
"cobie
@CryptoCobain
·
23 h
Anyone wanna play toplane in Clash tier 2 today, EUW send opgg pls
39
2
68",@CryptoCobain,"Anyone wanna play toplane in Clash tier 2 today, EUW send opgg pls",23 h
"cobie
@CryptoCobain
·
16 de out
How long til Barney and how long til Loomdart ?
34
2
318",@CryptoCobain,How long til Barney and how long til Loomdart ?,16 de out
"cobie
@CryptoCobain
·
15 de out
It's 2021 and there isnt a FUCKING GOOD HARDWARE WALLET YET LMFAO ITS BEEN OVER TEN FUCKING YEARS
397
210
3,7 mil",@CryptoCobain,It's 2021 and there isnt a FUCKING GOOD HARDWARE WALLET YET LMFAO ITS BEEN OVER TEN FUCKING YEARS,15 de out
"cobie
@CryptoCobain
·
15 de out
The flexxxxooooor

- Has 100k twitter followers but copytrades satsdart
- Bought a luxury watch in Dubai, doesn’t own a house yet
- “You get this bill Icebagz I’ll get the next”
- Doesn’t get the next one
- Lost 100k in a bet but didnt pay up
- Main revenue src is bybit ref links
164
135
2,7 mil",@CryptoCobain,"The flexxxxooooor

- Has 100k twitter followers but copytrades satsdart
- Bought a luxury watch in Dubai, doesn’t own a house yet
- “You get this bill Icebagz I’ll get the next”
- Doesn’t get the next one
- Lost 100k in a bet but didnt pay up
- Main revenue src is bybit ref links",15 de out
"cobie
@CryptoCobain
·
15 de out
Which comes first ... ?
Loom knocks out Rookie
21,1%
ETF approval
17,8%
BTCUSD all time high
33,1%
Gainzy loses virginity
28%
8.364 votos
·
Resultados finais
50
10
183",@CryptoCobain,Which comes first ... ?,15 de out
"cobie
@CryptoCobain
·
15 de out
Uptober is so much fun
57
70
1,5 mil",@CryptoCobain,Uptober is so much fun,15 de out
"cobie
@CryptoCobain
·
15 de out
_ U _ _ R C _ C _ _

———
|     |
|    o
|
|
____________

don’t jinx it
97
34
429",@CryptoCobain,"_ U _ _ R C _ C _ _

———
|     |
|    o
|
|
____________

don’t jinx it",15 de out
"cobie
@CryptoCobain
·
14 de out
wagmi ??????
138
75
1,6 mil",@CryptoCobain,wagmi ??????,14 de out
"cobie
@CryptoCobain
·
14 de out
Cant believe I got memed into buying tungsten cubes today 

gn
75
14
647",@CryptoCobain,"Cant believe I got memed into buying tungsten cubes today 

gn",14 de out
"cobie
@CryptoCobain
·
13 de out
If the ETF is denied how much will BTC go down in a single 1D candle ?
10-20%
45,9%
20-30%
24%
30-50%
8,1%
50-100%
22%
18.396 votos
·
Resultados finais
148
15
146",@CryptoCobain,If the ETF is denied how much will BTC go down in a single 1D candle ?,13 de out
"cobie
@CryptoCobain
·
13 de out
I'm going up only to hold you under
18
5
245
Mostrar esta sequência",@CryptoCobain,I'm going up only to hold you under,13 de out
"cobie
@CryptoCobain
·
13 de out
I swear sometimes I just realise I’m watching videos of people narrating their inner monologue like hi guys im going to get a coffee because im feeling tired today. then there’s another person who’s doing something different. HOW DID I GET HERE dont even remember opening this app
26
6
275",@CryptoCobain,I swear sometimes I just realise I’m watching videos of people narrating their inner monologue like hi guys im going to get a coffee because im feeling tired today. then there’s another person who’s doing something different. HOW DID I GET HERE dont even remember opening this app,13 de out
"cobie
@CryptoCobain
·
11 de out
I will fight the winner of the Rookie vs Loomdart fight in Dubai 2022 rerun if I am still alive by then
57
9
716",@CryptoCobain,I will fight the winner of the Rookie vs Loomdart fight in Dubai 2022 rerun if I am still alive by then,11 de out
"cobie
@CryptoCobain
·
11 de out
If I were in a fight in Dubai I would simply bet millions on the other person and intentionally lose

But what if both fighters did this

Weirdest fight ever
136
43
1,6 mil",@CryptoCobain,"If I were in a fight in Dubai I would simply bet millions on the other person and intentionally lose

But what if both fighters did this

Weirdest fight ever",11 de out
"cobie
@CryptoCobain
·
8 de out
Fuck wintermute
34
4
179
Mostrar esta sequência",@CryptoCobain,Fuck wintermute,8 de out
"cobie
@CryptoCobain
·
8 de out
Gonna try and get into the Aave crypto party that I’m not invited to with “don’t u know who I am?” as an entry tactic which me luck
87
18
1,4 mil
Mostrar esta sequência",@CryptoCobain,Gonna try and get into the Aave crypto party that I’m not invited to with “don’t u know who I am?” as an entry tactic which me luck,8 de out
"cobie
@CryptoCobain
·
7 de out
I’d rather have 1 tether than 1 legacy dollar anyway
53
34
641",@CryptoCobain,I’d rather have 1 tether than 1 legacy dollar anyway,7 de out
"cobie
@CryptoCobain
·
7 de out
Up only
Infinite incline
18,4%
Relentless rise
13,9%
Perpetual pump
46,4%
Solely skyward
21,2%
7.171 votos
·
Resultados finais
107
24
207",@CryptoCobain,Up only,7 de out
"cobie
@CryptoCobain
·
7 de out
1000 years ago we’d probably be trying to kill each other in a battlefield somewhere. Instead we are hanging out chatting on twitter while trying to dump dog coins on each other, kinda wholesome
147
221
2,9 mil",@CryptoCobain,"1000 years ago we’d probably be trying to kill each other in a battlefield somewhere. Instead we are hanging out chatting on twitter while trying to dump dog coins on each other, kinda wholesome",7 de out
"cobie
@CryptoCobain
·
6 de out
They’re making a sequel film to The Big Short about crypto, it’s featuring LedgerStatus and it’s called The Big Dork

Yeh I dunno about this tweet either please like it anyway
79
14
1,5 mil",@CryptoCobain,"They’re making a sequel film to The Big Short about crypto, it’s featuring LedgerStatus and it’s called The Big Dork

Yeh I dunno about this tweet either please like it anyway",6 de out
"cobie
@CryptoCobain
·
6 de out
Which do u prefer
New Paradigm November
61%
Nukevember
39%
5.353 votos
·
Resultados finais
62
9
72",@CryptoCobain,Which do u prefer,6 de out
"cobie
@CryptoCobain
·
5 de out
Highly recommend following 
@blknoiz06
 who I followed way too fkin late (always late smh) but very high value content for those trying to make it
96
64
805",@CryptoCobain,"Highly recommend following 
@blknoiz06
 who I followed way too fkin late (always late smh) but very high value content for those trying to make it",5 de out
"cobie
@CryptoCobain
·
5 de out
UpOnly this week:

Today - 
@hosseeb
 
Thursday - 
@Cryptopathic
 

See u later :)
32
16
366",@CryptoCobain,"UpOnly this week:

Today - 
@hosseeb
 
Thursday - 
@Cryptopathic
 

See u later :)",5 de out
