Field1,Text,Text1,Text2
,"Feels sooo good to finally be on vacation again

Two COVID years have almost made me forget how awesome a change of pace can be",@CryptoDonAlt,17 de out
"DonAlt
@CryptoDonAlt
·
17 de out
Feels sooo good to finally be on vacation again

Two COVID years have almost made me forget how awesome a change of pace can be
50
11
794","Feels sooo good to finally be on vacation again

Two COVID years have almost made me forget how awesome a change of pace can be",@CryptoDonAlt,17 de out
"DonAlt
@CryptoDonAlt
·
16 de out
All fighters are fucking legends
30
28
803",All fighters are fucking legends,@CryptoDonAlt,16 de out
"DonAlt
@CryptoDonAlt
·
11 de out
Sitting at the airport with nothing to do for an hour

So let’s do an AMA to pass some time
240
11
440
Mostrar esta sequência","Sitting at the airport with nothing to do for an hour

So let’s do an AMA to pass some time",@CryptoDonAlt,11 de out
"DonAlt
@CryptoDonAlt
·
9 de out
Hideous daily close yesterday and BTC didn't dump today?

Pretty cool if you ask me
73
31
1 mil","Hideous daily close yesterday and BTC didn't dump today?

Pretty cool if you ask me",@CryptoDonAlt,9 de out
"DonAlt
@CryptoDonAlt
·
5 de out
Is it up in USD season again?

Or are altcoins going to catch up soon?
68
20
682","Is it up in USD season again?

Or are altcoins going to catch up soon?",@CryptoDonAlt,5 de out
"DonAlt
@CryptoDonAlt
·
4 de out
I've been trying to buy some JPGs but I don't wanna pay $500 in transaction fees

ETH is such a scam it's unbelievable
499
162
2,3 mil
Mostrar esta sequência","I've been trying to buy some JPGs but I don't wanna pay $500 in transaction fees

ETH is such a scam it's unbelievable",@CryptoDonAlt,4 de out
"DonAlt
@CryptoDonAlt
·
2 de out
I see these motivational quotes all over social media

""Work now so you enjoy your spoils later""

Bullshit.

Life is short if you don't make time to enjoy it you're doing it wrong.
The only thing that attitude is gonna get you is a burnout in your early 30s.
74
94
1 mil","I see these motivational quotes all over social media

""Work now so you enjoy your spoils later""

Bullshit.

Life is short if you don't make time to enjoy it you're doing it wrong.
The only thing that attitude is gonna get you is a burnout in your early 30s.",@CryptoDonAlt,2 de out
"DonAlt
@CryptoDonAlt
·
1 de out
This recent pump is quite significant

Market structure looks pretty constructive now
Bunch of wealthy dudes got screwed
A lot of leverage apes got rekt
1:1 correlation traders got fucked

Feels and looks pretty good to me, lets see if we can keep the momentum into the weekend.
89
92
1,5 mil","This recent pump is quite significant

Market structure looks pretty constructive now
Bunch of wealthy dudes got screwed
A lot of leverage apes got rekt
1:1 correlation traders got fucked

Feels and looks pretty good to me, lets see if we can keep the momentum into the weekend.",@CryptoDonAlt,1 de out
"DonAlt
@CryptoDonAlt
·
29 de set
If you're looking for a holy grail in trading let me tell you this:
There is none.

The closest you can get is making sure to never be at risk of blowing up and putting in time

You grind, you fail, you keep failing until you win or until you give up.
Not everyone makes it.
40
87
786
Mostrar esta sequência","If you're looking for a holy grail in trading let me tell you this:
There is none.

The closest you can get is making sure to never be at risk of blowing up and putting in time

You grind, you fail, you keep failing until you win or until you give up.
Not everyone makes it.",@CryptoDonAlt,29 de set
