Field1,Text,Text1,Text2
"Wendy O SpacePunk
@CryptoWendyO
·
11 min
I found a really dope NFT and now I can’t find it anymore :( 

L
22
1
31","I found a really dope NFT and now I can’t find it anymore :( 

L",@CryptoWendyO,11 min
"Wendy O SpacePunk
@CryptoWendyO
·
2 h
Why is #TRON trending?
41
5
67",Why is #TRON trending?,@CryptoWendyO,2 h
"Wendy O SpacePunk
@CryptoWendyO
·
14 h
Why can’t we focus on just being good people 

Fxck a watch, fxck greed and fxck not showing compassion and support to your neighbor 

None of this material stuff matters in the end 

Your intent and actions do
64
61
469","Why can’t we focus on just being good people 

Fxck a watch, fxck greed and fxck not showing compassion and support to your neighbor 

None of this material stuff matters in the end 

Your intent and actions do",@CryptoWendyO,14 h
"Wendy O SpacePunk
@CryptoWendyO
·
16 de out
I invested my crypto gains in my daughters education 

That’s on creating generational wealth and raising them up strong and empowered to be of service to others
39
17
418","I invested my crypto gains in my daughters education 

That’s on creating generational wealth and raising them up strong and empowered to be of service to others",@CryptoWendyO,16 de out
"Wendy O SpacePunk
@CryptoWendyO
·
15 de out
#FF if you want to learn about NFTs follow these legends xo 


@CryptoStache
 

@NFTignition
 

@0x_fxnction
16
6
32","#FF if you want to learn about NFTs follow these legends xo 


@CryptoStache
 

@NFTignition
 

@0x_fxnction",@CryptoWendyO,15 de out
"Wendy O SpacePunk
@CryptoWendyO
·
15 de out
If we break $60K great 

If we flip $65K then we celebrate 

Because that means  the whole squad is thirsting
34
34
507","Is anyone actually shorting right now lmfao 

Just sit and stables and earn passive income you goof balls",@CryptoWendyO,15 de out
"Wendy O SpacePunk
@CryptoWendyO
·
14 de out
You should follow 
@sweetsinner3
26
5
76","You should follow 
@sweetsinner3",@CryptoWendyO,14 de out
"Wendy O SpacePunk
@CryptoWendyO
·
13 de out
No Love and Marriage with my amazing cohost 
@HotepJesus
 tonight 

We will be back next week as I’m currently watching the most controversial Netflix special in the history of 2021
17
4
65","No Love and Marriage with my amazing cohost 
@HotepJesus
 tonight 

We will be back next week as I’m currently watching the most controversial Netflix special in the history of 2021",@CryptoWendyO,13 de out
"Wendy O SpacePunk
@CryptoWendyO
·
12 de out
Imagine bowing down to someone who disrespects you 

Could never be me
46
20
321","Imagine bowing down to someone who disrespects you 

Could never be me",@CryptoWendyO,12 de out
"Wendy O SpacePunk
@CryptoWendyO
·
12 de out
Saturn is in the microwave
26
11
78",Saturn is in the microwave,@CryptoWendyO,12 de out
"Wendy O SpacePunk
@CryptoWendyO
·
11 de out
Do you even crypto if you don't have over 58459030458 separate wallets and can't find the one wallet with X on it ?
38
15
266",Do you even crypto if you don't have over 58459030458 separate wallets and can't find the one wallet with X on it ?,@CryptoWendyO,11 de out
"Wendy O SpacePunk
@CryptoWendyO
·
9 de out
GN
39
6
91",GN,@CryptoWendyO,9 de out
"Wendy O SpacePunk
@CryptoWendyO
·
8 de out
#FF 

@mysticaloaks

 
@dragonwolftech
 

@rioncrypto

 
@vannta_io


@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy
 
 
@megbzk
 

@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e
 

@Goldsby2RR

 
@megbzk
9
7
32","#FF 

@mysticaloaks

 
@dragonwolftech
 

@rioncrypto

 
@vannta_io


@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@macklorden


@MacNCheeasy
 
 
@megbzk
 

@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e
 

@Goldsby2RR

 
@megbzk",@CryptoWendyO,8 de out
"Wendy O SpacePunk
@CryptoWendyO
·
7 de out
GM ilysm and think you are really cool
26
3
93",GM ilysm and think you are really cool,@CryptoWendyO,7 de out
"Wendy O SpacePunk
@CryptoWendyO
·
6 de out
Do you guys really think Soros was not investing in Bitcoin all these years?

These guys are amazing at keeping things private and are notorious for opening multiple entities with different investments not tied directly to them
31
16
276
Mostrar esta sequência","Do you guys really think Soros was not investing in Bitcoin all these years?

These guys are amazing at keeping things private and are notorious for opening multiple entities with different investments not tied directly to them",@CryptoWendyO,6 de out
"Wendy O SpacePunk
@CryptoWendyO
·
5 de out
Can someone send a loaf of fresh-baked bread ty
27
4
73",Can someone send a loaf of fresh-baked bread ty,@CryptoWendyO,5 de out
"Wendy O SpacePunk
@CryptoWendyO
·
5 de out
Will #bitcoin hit $200,000 this cycle?
117
15
311","Will #bitcoin hit $200,000 this cycle?",@CryptoWendyO,5 de out
"Wendy O SpacePunk
@CryptoWendyO
·
3 de out
All the inner fighting is sad 

If we took the true ethos of self sovereignty, applied it in our own manner & ALL worked together by COMMUNICATING to fight against the real bad guys we could achieve greatness 

Friends, enemies & allies I wish you saw what I saw in all of you
22
12
148","All the inner fighting is sad 

If we took the true ethos of self sovereignty, applied it in our own manner & ALL worked together by COMMUNICATING to fight against the real bad guys we could achieve greatness 

Friends, enemies & allies I wish you saw what I saw in all of you",@CryptoWendyO,3 de out
"Wendy O SpacePunk
@CryptoWendyO
·
1 de out
I don’t know what you young kids are minting these days 

I shall watch and play in silence and wish you well
81
12
176","I don’t know what you young kids are minting these days 

I shall watch and play in silence and wish you well",@CryptoWendyO,1 de out
"Wendy O SpacePunk
@CryptoWendyO
·
1 de out
#FF 

@chanelegirll


@mysticaloaks

 
@dragonwolftech
 

@rioncrypto

 
@vannta_io
 
 
@megbzk
 

@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@LibertyRaider
 

@MacNCheeasy


@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e


@Goldsby2RR
21
14
33","#FF 

@chanelegirll


@mysticaloaks

 
@dragonwolftech
 

@rioncrypto

 
@vannta_io
 
 
@megbzk
 

@Enspyre9


@BlockchainBoyy


@theekrystallee


@MasonVersluis


@LibertyRaider
 

@MacNCheeasy


@CryptoWeathrMan


@chadsgx


@stonkaholics


@pixiekate13


@thecryptoc0up1e


@Goldsby2RR",@CryptoWendyO,1 de out
"Wendy O SpacePunk
@CryptoWendyO
·
1 de out
What if $DOGE really goes to $1 in Q4
394
148
1,7 mil",What if $DOGE really goes to $1 in Q4,@CryptoWendyO,1 de out
"Wendy O SpacePunk
@CryptoWendyO
·
29 de set
I really want to buy a lot of the cute NFTs on Solana but i cant hold them like i hold baby yoda :(
32
8
97",I really want to buy a lot of the cute NFTs on Solana but i cant hold them like i hold baby yoda :(,@CryptoWendyO,29 de set
"Wendy O SpacePunk
@CryptoWendyO
·
29 de set
What if $65,000 was the top for Bitcoin?
1,6 mil
226
2,6 mil","What if $65,000 was the top for Bitcoin?",@CryptoWendyO,29 de set
