Field1,Text,Text1,Text2
"Erik Voorhees
@ErikVoorhees
·
6 h
A short defi story...

Ethereum Q1: defi, decentralized, but kinda slow and very expensive

BSC Q2: defi, not decentralized, but quite fast and cheap

Solana Q3: defi, kinda decentralized, very fast and cheap

Cosmos/IBC Q4: defi, decentralized, fast and cheap
227
329
1,5 mil",@ErikVoorhees,6 h,"A short defi story...

Ethereum Q1: defi, decentralized, but kinda slow and very expensive

BSC Q2: defi, not decentralized, but quite fast and cheap

Solana Q3: defi, kinda decentralized, very fast and cheap

Cosmos/IBC Q4: defi, decentralized, fast and cheap"
"Erik Voorhees
@ErikVoorhees
·
20 h
Of that which must be decentralized in human affairs…

1. Thought
2. Money
38
24
244",@ErikVoorhees,20 h,"Of that which must be decentralized in human affairs…

1. Thought
2. Money"
"Erik Voorhees
@ErikVoorhees
·
13 de out
tardfi is my new favorite term
39
19
385",@ErikVoorhees,13 de out,tardfi is my new favorite term
"Erik Voorhees
@ErikVoorhees
·
11 de out
Immaculate decentralization is a myth.

Decentralization is a spectrum, a process, a principle, an ideal. 

Bitcoin used to be just one person.
94
110
950",@ErikVoorhees,11 de out,"Immaculate decentralization is a myth.

Decentralization is a spectrum, a process, a principle, an ideal. 

Bitcoin used to be just one person."
"Erik Voorhees
@ErikVoorhees
·
11 de out
FOX Bonds launch on Olympus Pro on Oct 13th.

D2D > B2B


@OlympusDAO
 
@ShapeShift_io
24
95
291",@ErikVoorhees,11 de out,"FOX Bonds launch on Olympus Pro on Oct 13th.

D2D > B2B


@OlympusDAO
 
@ShapeShift_io"
"Erik Voorhees
@ErikVoorhees
·
11 de out
It’s funny how banks are often still made of stone or brick, as if anything of value is stored inside.
66
58
589",@ErikVoorhees,11 de out,"It’s funny how banks are often still made of stone or brick, as if anything of value is stored inside."
"Erik Voorhees
@ErikVoorhees
·
8 de out
Does it feel to anyone else like Bloomberg Crypto just writes gotcha pieces against the crypto industry?
115
44
799",@ErikVoorhees,8 de out,Does it feel to anyone else like Bloomberg Crypto just writes gotcha pieces against the crypto industry?
"Erik Voorhees
@ErikVoorhees
·
7 de out
Always replace the word “compliance” with the word “obedience.”
29
88
614",@ErikVoorhees,7 de out,Always replace the word “compliance” with the word “obedience.”
"Erik Voorhees
@ErikVoorhees
·
6 de out
The greatest empires of the future are those which captured the maximum Bitcoin before their adversaries caught on.
49
44
402",@ErikVoorhees,6 de out,The greatest empires of the future are those which captured the maximum Bitcoin before their adversaries caught on.
"Erik Voorhees
@ErikVoorhees
·
6 de out
Do you want 
@GaryGensler
 to protect you?
Yes
7,2%
No
92,8%
9.038 votos
·
Resultados finais
157
200
336",@ErikVoorhees,6 de out,"Do you want 
@GaryGensler
 to protect you?"
"Erik Voorhees
@ErikVoorhees
·
5 de out
So many TradFi folks are gonna be pissed that they have to start having meetings to discuss their crypto strategy again.
30
30
456",@ErikVoorhees,5 de out,So many TradFi folks are gonna be pissed that they have to start having meetings to discuss their crypto strategy again.
"Erik Voorhees
@ErikVoorhees
·
3 de out
I’m absolutely on board with #MintTheCoin

It will become the most iconic symbol of fiat’s financial sophistry.
43
41
401",@ErikVoorhees,3 de out,"I’m absolutely on board with #MintTheCoin

It will become the most iconic symbol of fiat’s financial sophistry."
"Erik Voorhees
@ErikVoorhees
·
3 de out
The connection between government spending and taxes is clear to people.

Yet the connection between government spending and inflation is unclear.

It is for this reason that we see governments find increasingly creative ways of achieving the latter.
14
28
174",@ErikVoorhees,3 de out,"The connection between government spending and taxes is clear to people.

Yet the connection between government spending and inflation is unclear.

It is for this reason that we see governments find increasingly creative ways of achieving the latter."
"Erik Voorhees
@ErikVoorhees
·
28 de set
 China banning crypto so its Orwellian CBDC can roll out with less competition.

 United States suing Kraken for offering innovative financial services that people like.

 El Salvador mining Bitcoin with volcanoes.
37
147
1,1 mil",@ErikVoorhees,28 de set," China banning crypto so its Orwellian CBDC can roll out with less competition.

 United States suing Kraken for offering innovative financial services that people like.

 El Salvador mining Bitcoin with volcanoes."
"Erik Voorhees
@ErikVoorhees
·
24 de set
Some people advocate for the free movement of goods and services across borders, but not the free movement of humans across borders.

This is called hypocrisy.

One cannot be an advocate of free trade and also an advocate of immigration restrictions.
174
105
773
Mostrar esta sequência",@ErikVoorhees,24 de set,"Some people advocate for the free movement of goods and services across borders, but not the free movement of humans across borders.

This is called hypocrisy.

One cannot be an advocate of free trade and also an advocate of immigration restrictions."
"Erik Voorhees
@ErikVoorhees
·
24 de set
It’s cute how the MSM parrots China’s propaganda, “the ban is to cut down on money laundering”

Rather than the truth which is obvious to anyone paying attention, “the ban is to reduce market competition with China’s CBDC”
48
115
659",@ErikVoorhees,24 de set,"It’s cute how the MSM parrots China’s propaganda, “the ban is to cut down on money laundering”

Rather than the truth which is obvious to anyone paying attention, “the ban is to reduce market competition with China’s CBDC”"
"Erik Voorhees
@ErikVoorhees
·
19 de set
""In a spirit of sheer conscious fraud, the State will at any time offer its people “four freedoms,” or six, or any number; but it will never let them have economic freedom. If it did, it would be signing its own death warrant."" - Albert Jay Nock
17
33
177",@ErikVoorhees,19 de set,"""In a spirit of sheer conscious fraud, the State will at any time offer its people “four freedoms,” or six, or any number; but it will never let them have economic freedom. If it did, it would be signing its own death warrant."" - Albert Jay Nock"
"Erik Voorhees
@ErikVoorhees
·
19 de set
Crypto broadly—and Bitcoin specifically—has always been about removing the institution of money from its current captor, the state, and into the rightful hands of the market.

The means is inspiring; accomplished without coercion, but by the mere offering of an alternative.
40
139
748",@ErikVoorhees,19 de set,"Crypto broadly—and Bitcoin specifically—has always been about removing the institution of money from its current captor, the state, and into the rightful hands of the market.

The means is inspiring; accomplished without coercion, but by the mere offering of an alternative."
"Erik Voorhees
@ErikVoorhees
·
15 de set
It used to be a problem that banks would shut you down for crypto activity.

It used to be a problem that New York imposed the ""BitLicense"" and blocked innovation.

It used to be a problem that nearly all exchange ran through intermediaries. 

And then defi happened 
39
59
511",@ErikVoorhees,15 de set,"It used to be a problem that banks would shut you down for crypto activity.

It used to be a problem that New York imposed the ""BitLicense"" and blocked innovation.

It used to be a problem that nearly all exchange ran through intermediaries. 

And then defi happened "
"Erik Voorhees
@ErikVoorhees
·
13 de set
Four DEX liquidity pools so far for FOX ranked by depth:

1) Uniswap v2 (ETH L1) - incentivized
2) Uniswap v3 (ETH L1)
3) Sushiswap (ETH L2: Polygon) - incentivized
4) Honeyswap (ETH L2: xDAI)

FOX is the token that governs the open-source 
@ShapeShift
16
9
50",@ErikVoorhees,13 de set,"Four DEX liquidity pools so far for FOX ranked by depth:

1) Uniswap v2 (ETH L1) - incentivized
2) Uniswap v3 (ETH L1)
3) Sushiswap (ETH L2: Polygon) - incentivized
4) Honeyswap (ETH L2: xDAI)

FOX is the token that governs the open-source 
@ShapeShift"
"Erik Voorhees
@ErikVoorhees
·
13 de set
ShapeShift the Corporation would be forced to mandate vaccination, violating employee health choices regarding their bodies.

ShapeShift the DAO has no such problem, and can respect the personal preferences of those who work with it. 

Decentralization is the way.
56
192
1,2 mil",@ErikVoorhees,13 de set,"ShapeShift the Corporation would be forced to mandate vaccination, violating employee health choices regarding their bodies.

ShapeShift the DAO has no such problem, and can respect the personal preferences of those who work with it. 

Decentralization is the way."
"Erik Voorhees
@ErikVoorhees
·
10 de set
- Good health

- Good relationships

- Learning and personal development

- The abolition of fiat currency and the dismantling of the state
75
169
1,4 mil",@ErikVoorhees,10 de set,"- Good health

- Good relationships

- Learning and personal development

- The abolition of fiat currency and the dismantling of the state"
"Erik Voorhees
@ErikVoorhees
·
9 de set
SEC embraces innovation like a bear trap embraces bears
54
117
1 mil",@ErikVoorhees,9 de set,SEC embraces innovation like a bear trap embraces bears
"Erik Voorhees
@ErikVoorhees
·
9 de set
Defi user not affected.
6
10
142",@ErikVoorhees,9 de set,Defi user not affected.
