Field1,Text,Text1,Text2
"$KENN TOKEN
@KennethBosak
·
1 h
$KENN PRE SALE ENDED 
3
8",$KENN PRE SALE ENDED ,@KennethBosak,1 h
"$KENN TOKEN
@KennethBosak
·
9 h
Right now, 1 BTC equals 62376.4492 USD.
2
10","Right now, 1 BTC equals 62376.4492 USD.",@KennethBosak,9 h
"$KENN TOKEN
@KennethBosak
·
12 h
WHAT #NFT SHOULD I BUY TODAY?!
52
3
23",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,12 h
"$KENN TOKEN
@KennethBosak
·
13 h
Have a day Bro Bros. Say it back...
11
2
11",Have a day Bro Bros. Say it back...,@KennethBosak,13 h
"$KENN TOKEN
@KennethBosak
·
22 h
Have a night Bro Bros. Say it back...
9
1
18",Have a night Bro Bros. Say it back...,@KennethBosak,22 h
"$KENN TOKEN
@KennethBosak
·
22 h
1
2
14",,@KennethBosak,22 h
"$KENN TOKEN
@KennethBosak
·
23 h
GO $SPS GO 
1
3
11",GO $SPS GO ,@KennethBosak,23 h
"$KENN TOKEN
@KennethBosak
·
17 de out
Do You Love Me ?
A mídia a seguir inclui conteúdo possivelmente sensível. Alterar configurações
Ver
13
3
16",Do You Love Me ?,@KennethBosak,17 de out
"$KENN TOKEN
@KennethBosak
·
17 de out
WHAT #NFT SHOULD I BUY TODAY?!
95
8
50",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,17 de out
"$KENN TOKEN
@KennethBosak
·
17 de out
Have a day Bro Bros. Say it back...
5
7",Have a day Bro Bros. Say it back...,@KennethBosak,17 de out
"$KENN TOKEN
@KennethBosak
·
17 de out
Have a night Bro Bros. Say it back...
4
5",Have a night Bro Bros. Say it back...,@KennethBosak,16 de out
"$KENN TOKEN
@KennethBosak
·
16 de out
Bukkake Mosh Pit 
3
1
3",Bukkake Mosh Pit ,@KennethBosak,16 de out
"$KENN TOKEN
@KennethBosak
·
16 de out
WHAT #NFT SHOULD I BUY TODAY?!
73
5
40",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,16 de out
"$KENN TOKEN
@KennethBosak
·
16 de out
Have a night Bro Bros. Say it back...
9
2
15",Have a night Bro Bros. Say it back...,@KennethBosak,16 de out
"$KENN TOKEN
@KennethBosak
·
15 de out
I AM $KENN
6
2
13",I AM $KENN,@KennethBosak,15 de out
"$KENN TOKEN
@KennethBosak
·
15 de out
Right now, 1 BTC equals 59393.8711 USD.
1
8","Right now, 1 BTC equals 59393.8711 USD.",@KennethBosak,15 de out
"$KENN TOKEN
@KennethBosak
·
15 de out
WHAT #NFT SHOULD I BUY TODAY?!
37
6
17",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,15 de out
"$KENN TOKEN
@KennethBosak
·
15 de out
Have a night Bro Bros. Say it back...
7
2
16",Have a night Bro Bros. Say it back...,@KennethBosak,15 de out
"$KENN TOKEN
@KennethBosak
·
14 de out
Right now, 1 BTC equals 58035.0117 USD.
1
1
12","Right now, 1 BTC equals 58035.0117 USD.",@KennethBosak,14 de out
"$KENN TOKEN
@KennethBosak
·
14 de out
WHAT #NFT SHOULD I BUY TODAY?!
97
9
55",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,14 de out
"$KENN TOKEN
@KennethBosak
·
14 de out
Have a day Bro Bros. Say it back...
9
1
10",Have a day Bro Bros. Say it back...,@KennethBosak,14 de out
"$KENN TOKEN
@KennethBosak
·
13 de out
LIKE IF YOU BOUGHT ABOVE THE FLOOR
2
12",LIKE IF YOU BOUGHT ABOVE THE FLOOR,@KennethBosak,13 de out
"$KENN TOKEN
@KennethBosak
·
13 de out
Right now, 1 BTC equals 56326.2617 USD.
7","Right now, 1 BTC equals 56326.2617 USD.",@KennethBosak,13 de out
"$KENN TOKEN
@KennethBosak
·
13 de out
WHAT #NFT SHOULD I BUY TODAY?!
135
9
81",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,13 de out
"$KENN TOKEN
@KennethBosak
·
13 de out
LIKE & RETWEET + COMMENT
TAGGING 
@BluDac
 FOR $1K 
14
14
23","LIKE & RETWEET + COMMENT
TAGGING 
@BluDac
 FOR $1K ",@KennethBosak,13 de out
"$KENN TOKEN
@KennethBosak
·
12 de out
Right now, 1 BTC equals 56113.0117 USD.
3
10","Right now, 1 BTC equals 56113.0117 USD.",@KennethBosak,12 de out
"$KENN TOKEN
@KennethBosak
·
12 de out
WHAT #NFT SHOULD I BUY TODAY?!
82
5
46",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,12 de out
"$KENN TOKEN
@KennethBosak
·
12 de out
Have a day Bro Bros. Say it back...
11
1
12",Have a day Bro Bros. Say it back...,@KennethBosak,12 de out
"$KENN TOKEN
@KennethBosak
·
12 de out
Have a night Bro Bros. Say it back...
5
8",Have a night Bro Bros. Say it back...,@KennethBosak,12 de out
"$KENN TOKEN
@KennethBosak
·
11 de out
I'M EARNING $25K A YEAR RENTING OUT ALL OF MY 
@SPLINTERLANDS
 NFTs 
3
2
19","I'M EARNING $25K A YEAR RENTING OUT ALL OF MY 
@SPLINTERLANDS
 NFTs ",@KennethBosak,11 de out
"$KENN TOKEN
@KennethBosak
·
11 de out
BUY $KENN
1
4
9",BUY $KENN,@KennethBosak,11 de out
"$KENN TOKEN
@KennethBosak
·
11 de out
WHAT #NFT SHOULD I BUY TODAY?!
87
5
53",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,11 de out
"$KENN TOKEN
@KennethBosak
·
11 de out
Have a night Bro Bros. Say it back...
2
6",Have a night Bro Bros. Say it back...,@KennethBosak,11 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
Right now, 1 BTC equals 55339.8008 USD.
1
1
8","Right now, 1 BTC equals 55339.8008 USD.",@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
I DON'T EVEN LIKE MONEY...
10
2
16",I DON'T EVEN LIKE MONEY...,@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
I told you to buy $SPS !!!
4
4
16",I told you to buy $SPS !!!,@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
Have a day Bro Bros. Say it back...
7
14",Have a day Bro Bros. Say it back...,@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
Have a night Bro Bros. Say it back...
5
2
15",Have a night Bro Bros. Say it back...,@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
10 de out
Would of been nice if 
@NFT_NYC
 told us they require proof* of vaccine to enter...
6
2
11","Would of been nice if 
@NFT_NYC
 told us they require proof* of vaccine to enter...",@KennethBosak,10 de out
"$KENN TOKEN
@KennethBosak
·
9 de out
(INSERT [SOMETHING OFFENSIVE] HERE)
4
4",(INSERT [SOMETHING OFFENSIVE] HERE),@KennethBosak,9 de out
"$KENN TOKEN
@KennethBosak
·
9 de out
I HOPE YOU HODL $SPS BROS 
2
7",I HOPE YOU HODL $SPS BROS ,@KennethBosak,9 de out
"$KENN TOKEN
@KennethBosak
·
9 de out
WHAT #NFT SHOULD I BUY TODAY?!
32
4
27",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,9 de out
"$KENN TOKEN
@KennethBosak
·
9 de out
Have a night Bro Bros. Say it back...
8
3
22",Have a night Bro Bros. Say it back...,@KennethBosak,9 de out
"$KENN TOKEN
@KennethBosak
·
8 de out
-WEIRDLINESS IS NEXT TO GODLINESS.
1
3
7",-WEIRDLINESS IS NEXT TO GODLINESS.,@KennethBosak,8 de out
"$KENN TOKEN
@KennethBosak
·
8 de out
Right now, 1 BTC equals 54152.9883 USD.
1
8","Right now, 1 BTC equals 54152.9883 USD.",@KennethBosak,8 de out
"$KENN TOKEN
@KennethBosak
·
8 de out
Have a day Bro Bros. Say it back...
13
10",Have a day Bro Bros. Say it back...,@KennethBosak,8 de out
"$KENN TOKEN
@KennethBosak
·
8 de out
Have a night Bro Bros. Say it back...
2
7",Have a night Bro Bros. Say it back...,@KennethBosak,8 de out
"$KENN TOKEN
@KennethBosak
·
7 de out
JUST SPENT $30K ON MY TEETH 
-AND IT'S NOT EVEN A GRILL...
6
1
18
Mostrar esta sequência","JUST SPENT $30K ON MY TEETH 
-AND IT'S NOT EVEN A GRILL...",@KennethBosak,7 de out
"$KENN TOKEN
@KennethBosak
·
7 de out
Right now, 1 BTC equals 53714.4805 USD.
1
1
5","Right now, 1 BTC equals 53714.4805 USD.",@KennethBosak,7 de out
"$KENN TOKEN
@KennethBosak
·
7 de out
WHAT #NFT SHOULD I BUY TODAY?!
50
1
34",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,7 de out
"$KENN TOKEN
@KennethBosak
·
7 de out
Have a day Bro Bros. Say it back...
10
14",Have a day Bro Bros. Say it back...,@KennethBosak,7 de out
"$KENN TOKEN
@KennethBosak
·
7 de out
Have a night Bro Bros. Say it back...
3
7",Have a night Bro Bros. Say it back...,@KennethBosak,7 de out
"$KENN TOKEN
@KennethBosak
·
6 de out
WHAT'S AN #NFT ?
(WRONG ANSWERS ONLY)
28
1
17","WHAT'S AN #NFT ?
(WRONG ANSWERS ONLY)",@KennethBosak,6 de out
"$KENN TOKEN
@KennethBosak
·
6 de out
WHAT #NFT SHOULD I BUY TODAY?!
44
2
35",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,6 de out
"$KENN TOKEN
@KennethBosak
·
6 de out
Have a night Bro Bros. Say it back...
6
1
13",Have a night Bro Bros. Say it back...,@KennethBosak,6 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
HOLY SHIT $SPS 
1
1
8",HOLY SHIT $SPS ,@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
Right now, 1 BTC equals 49811.4688 USD.
2
1
10","Right now, 1 BTC equals 49811.4688 USD.",@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
WHITELISTED IS WHITE PRIVILEGE
5
2
14",WHITELISTED IS WHITE PRIVILEGE,@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
NFTs - non-fungible tokens
sNFTs - sub-non-fungible tokens
fNFTs- fungible non-fungible tokens
uNFTs - utility non-fungible tokens
pNFTs - physical non-fungible tokens
iNFTs - infused non-fungible tokens
eNFTs - entertainment non-fungible tokens
8
8
24","NFTs - non-fungible tokens
sNFTs - sub-non-fungible tokens
fNFTs- fungible non-fungible tokens
uNFTs - utility non-fungible tokens
pNFTs - physical non-fungible tokens
iNFTs - infused non-fungible tokens
eNFTs - entertainment non-fungible tokens",@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
WHAT #NFT SHOULD I BUY TODAY?!
70
7
38",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
5 de out
Have a night Bro Bros. Say it back...
5
6",Have a night Bro Bros. Say it back...,@KennethBosak,5 de out
"$KENN TOKEN
@KennethBosak
·
4 de out
01001111 01001110 01000101 01010011 00100000 01000001 01001110 01000100 00100000 01011010 01000101 01010010 01001111 01010011
12
1
17",01001111 01001110 01000101 01010011 00100000 01000001 01001110 01000100 00100000 01011010 01000101 01010010 01001111 01010011,@KennethBosak,4 de out
"$KENN TOKEN
@KennethBosak
·
4 de out
BUY MY SHITCOIN !
7
2
23",BUY MY SHITCOIN !,@KennethBosak,4 de out
"$KENN TOKEN
@KennethBosak
·
4 de out
Right now, 1 BTC equals 47987.7383 USD.
3
1
13","Right now, 1 BTC equals 47987.7383 USD.",@KennethBosak,4 de out
"$KENN TOKEN
@KennethBosak
·
4 de out
Have a day Bro Bros. Say it back...
12
1
15",Have a day Bro Bros. Say it back...,@KennethBosak,4 de out
"$KENN TOKEN
@KennethBosak
·
4 de out
Have a night Bro Bros. Say it back...
13
1
26",Have a night Bro Bros. Say it back...,@KennethBosak,4 de out
"$KENN TOKEN
@KennethBosak
·
3 de out
WHAT'S THE #1 NFT YOU REGRET SELLING? WHY?
19
4
19",WHAT'S THE #1 NFT YOU REGRET SELLING? WHY?,@KennethBosak,3 de out
"$KENN TOKEN
@KennethBosak
·
3 de out
WHY DID / DIDN'T YOU BUY A LAZY LION?
40
11
52",WHY DID / DIDN'T YOU BUY A LAZY LION?,@KennethBosak,3 de out
"$KENN TOKEN
@KennethBosak
·
3 de out
WHAT #NFT SHOULD I BUY TODAY?!
114
2
73",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,3 de out
"$KENN TOKEN
@KennethBosak
·
3 de out
Have a day Bro Bros. Say it back...
10
15",Have a day Bro Bros. Say it back...,@KennethBosak,3 de out
"$KENN TOKEN
@KennethBosak
·
3 de out
Have a night Bro Bros. Say it back...
11
4
21",Have a night Bro Bros. Say it back...,@KennethBosak,3 de out
"$KENN TOKEN
@KennethBosak
·
2 de out
WHAT #NFT SHOULD I BUY TODAY?!
384
27
222",WHAT #NFT SHOULD I BUY TODAY?!,@KennethBosak,2 de out
