Field1,Text,Text1,Text2
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
36 min
If everyone bought #bitcoin and sold all their fiat… What do you think would happen to governments and central banks? 
52
19
165",If everyone bought #bitcoin and sold all their fiat… What do you think would happen to governments and central banks? ,@LayahHeilpern,36 min
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
1 h
Never let the fear of rejection stop you. 

Putting yourself ""out there"" is so much more rewarding than sitting on the sidelines wondering what if. 

Also, rejection is just a hidden opportunity.
22
21
255","Never let the fear of rejection stop you. 

Putting yourself ""out there"" is so much more rewarding than sitting on the sidelines wondering what if. 

Also, rejection is just a hidden opportunity.",@LayahHeilpern,1 h
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
16 de out
The most common phrase in the shitcoin/memecoin sphere “but imagine if it goes to just one dollar!” 
193
116
1,5 mil",The most common phrase in the shitcoin/memecoin sphere “but imagine if it goes to just one dollar!” ,@LayahHeilpern,16 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
16 de out
MicroStrategy's #bitcoin investment doubles now valued at more than $6,000,000,000! 
60
66
933","MicroStrategy's #bitcoin investment doubles now valued at more than $6,000,000,000! ",@LayahHeilpern,16 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
15 de out
#Bitcoin has ALWAYS rewarded patience, never forget that!
27
35
525","#Bitcoin has ALWAYS rewarded patience, never forget that!",@LayahHeilpern,15 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
15 de out
Major congrats to everyone that didn’t panic sell in May… WGMI 
52
43
953",Major congrats to everyone that didn’t panic sell in May… WGMI ,@LayahHeilpern,15 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
13 de out
Until I get married and have babies #bitcoin is still the greatest thing that’s happened to me! 
298
136
3,6 mil",Until I get married and have babies #bitcoin is still the greatest thing that’s happened to me! ,@LayahHeilpern,13 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
13 de out
“If you mention anything other than bitcoin you’re a scammer” 
112
31
684
Mostrar esta sequência",“If you mention anything other than bitcoin you’re a scammer” ,@LayahHeilpern,13 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
12 de out
Bitcoin has created the greatest human rights opportunity of our time.
45
59
608",Bitcoin has created the greatest human rights opportunity of our time.,@LayahHeilpern,12 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
11 de out
The world is so fcked right now and it’s simply fuelling bitcoin and the rest of the crypto industry. If authoritarianism is the catalyst we need, then so be it. 
46
70
663","The world is so fcked right now and it’s simply fuelling bitcoin and the rest of the crypto industry. If authoritarianism is the catalyst we need, then so be it. ",@LayahHeilpern,11 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
11 de out
Centralised income is a huge risk. 

Decentralise your earnings ASAP.
35
49
527","Centralised income is a huge risk. 

Decentralise your earnings ASAP.",@LayahHeilpern,11 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
11 de out
I get diversifying I just don’t get not holding bitcoin at all 
131
39
1 mil",I get diversifying I just don’t get not holding bitcoin at all ,@LayahHeilpern,11 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
10 de out
When you’re poor the government love you and promise you the world. 

Once you’re a billionaire and you’ve ‘made it’ they literally declare war on you. 

Never misunderstand the intentions of your government.
58
43
451
Mostrar esta sequência","When you’re poor the government love you and promise you the world. 

Once you’re a billionaire and you’ve ‘made it’ they literally declare war on you. 

Never misunderstand the intentions of your government.",@LayahHeilpern,10 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
10 de out
Been researching the situation in Lebanon. 

My heartbreaks how people are having their life savings literally stolen. 

Yes #bitcoin does fix this! 

Will be releasing a video on this shortly… stay tuned.
25
17
282","Been researching the situation in Lebanon. 

My heartbreaks how people are having their life savings literally stolen. 

Yes #bitcoin does fix this! 

Will be releasing a video on this shortly… stay tuned.",@LayahHeilpern,10 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
10 de out
You don’t know anything about yourself or life until you’ve explored outside of your culture for an extended period of time.
66
167
1,1 mil",You don’t know anything about yourself or life until you’ve explored outside of your culture for an extended period of time.,@LayahHeilpern,10 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
9 de out
I made a new girlfriend at the spa. 

She’s from New York and said fck Biden and she’s not getting the shot. 

Immediately we exchanged numbers 
87
23
744
Mostrar esta sequência","I made a new girlfriend at the spa. 

She’s from New York and said fck Biden and she’s not getting the shot. 

Immediately we exchanged numbers ",@LayahHeilpern,9 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
9 de out
I’m actually PRO vax. 

I’ve had vaccines and will most likely get more should I feel necessary. 

I am however anti segregation, discrimination and vilification. 

Those pushing this evil and divisive message should be ashamed.

What happened to love, kindness and understanding?
199
272
3,2 mil
Mostrar esta sequência","I’m actually PRO vax. 

I’ve had vaccines and will most likely get more should I feel necessary. 

I am however anti segregation, discrimination and vilification. 

Those pushing this evil and divisive message should be ashamed.

What happened to love, kindness and understanding?",@LayahHeilpern,9 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
8 de out
If they wanted you to win they’d teach financial literacy in schools.
84
349
2,2 mil",If they wanted you to win they’d teach financial literacy in schools.,@LayahHeilpern,8 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
8 de out
Buying bitcoin every month.

And waiting for 10 years.

Is one of the best financial decisions you'll ever make.
188
205
2,3 mil
Mostrar esta sequência","Buying bitcoin every month.

And waiting for 10 years.

Is one of the best financial decisions you'll ever make.",@LayahHeilpern,8 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
6 de out
They were wrong about the internet 

They were wrong about email 

They were wrong about social media 

They are wrong about #bitcoin
36
66
537","They were wrong about the internet 

They were wrong about email 

They were wrong about social media 

They are wrong about #bitcoin",@LayahHeilpern,6 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
6 de out
Someone check on 
@trader1sz
 
12
3
83","Someone check on 
@trader1sz
 ",@LayahHeilpern,6 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
5 de out
Jamie Dimon calls #bitcoin ""fool's gold"". 

I would genuinely bet all my bitcoin that he either already owns bitcoin or is trying to get in at a better price...
32
11
175","Jamie Dimon calls #bitcoin ""fool's gold"". 

I would genuinely bet all my bitcoin that he either already owns bitcoin or is trying to get in at a better price...",@LayahHeilpern,5 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
4 de out
$500 from 50k 
22
14
419",$500 from 50k ,@LayahHeilpern,4 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
4 de out
HUGE news for British Bitcoiners!  

The major #bitcoin exchange 
@CoinCorner
 has just acquired 
@Coinfloor
 giving all customers access to:

- Bitcoin cashback 
- Lightning payments 
- Debit cards soon 
- Bitcoin backed loans soon!
15
46
295","HUGE news for British Bitcoiners!  

The major #bitcoin exchange 
@CoinCorner
 has just acquired 
@Coinfloor
 giving all customers access to:

- Bitcoin cashback 
- Lightning payments 
- Debit cards soon 
- Bitcoin backed loans soon!",@LayahHeilpern,4 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
4 de out
I learnt at a very young age to never rely on your employer. 

The company I was working at collapsed. Suddenly I had no control over where I lived and where I was going. 

From that moment I decided to ALWAYS be entirely sovereign over my life!

It’s the safest option!
26
23
479","I learnt at a very young age to never rely on your employer. 

The company I was working at collapsed. Suddenly I had no control over where I lived and where I was going. 

From that moment I decided to ALWAYS be entirely sovereign over my life!

It’s the safest option!",@LayahHeilpern,4 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
4 de out
As the world becomes more decentralised and technology advances, hiking taxes will not only drive the rich out the country and everyone else too. Including the innovation and jobs created. 
26
12
220","As the world becomes more decentralised and technology advances, hiking taxes will not only drive the rich out the country and everyone else too. Including the innovation and jobs created. ",@LayahHeilpern,4 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
3 de out
Somewhere in China someone is currently plotting the next fud attack... bitcoin recovering to $49k must be annoying af
32
15
212",Somewhere in China someone is currently plotting the next fud attack... bitcoin recovering to $49k must be annoying af,@LayahHeilpern,3 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
3 de out
Tell me why you’re bullish on Q4?!
156
10
224",Tell me why you’re bullish on Q4?!,@LayahHeilpern,3 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
3 de out
Just a reminder that being a woman in crypto isn’t an achievement. Thank you. As you were. X
132
102
1,9 mil",Just a reminder that being a woman in crypto isn’t an achievement. Thank you. As you were. X,@LayahHeilpern,3 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
3 de out
Here’s an interesting turn of events with NFTs. 

I wouldn’t buy one because I personally don’t see value FOR ME. 

However, I’ve been sent one, received lots of offers around $600 and for some reason I just don’t want to sell… 
51
10
188
Mostrar esta sequência","Here’s an interesting turn of events with NFTs. 

I wouldn’t buy one because I personally don’t see value FOR ME. 

However, I’ve been sent one, received lots of offers around $600 and for some reason I just don’t want to sell… ",@LayahHeilpern,3 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
1 de out
The DeFi platform Compound Finance accidentally sent $89M in crypto to its users… The CEO is asking users to return the funds. 

Jfc no wonder governments are trying to regulate the hell out of this space!
67
24
347","The DeFi platform Compound Finance accidentally sent $89M in crypto to its users… The CEO is asking users to return the funds. 

Jfc no wonder governments are trying to regulate the hell out of this space!",@LayahHeilpern,1 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
1 de out
Remote work is one of technologies greatest gifts to humanity. 
35
77
693",Remote work is one of technologies greatest gifts to humanity. ,@LayahHeilpern,1 de out
"Layah Heilpern: Undressing Bitcoin OUT NOW! 
@LayahHeilpern
·
1 de out
If I’m not working or at least being productive I go absolutely crazy! Anyone else? 
115
21
505",If I’m not working or at least being productive I go absolutely crazy! Anyone else? ,@LayahHeilpern,1 de out
