Field1,Text,Text1,Text2
"Peter McCormack
@PeterMcCormack
·
14 h
If Americans knew Roy Keane they would find Roy Kent funnier.
34
3
183
Mostrar esta sequência",If Americans knew Roy Keane they would find Roy Kent funnier.,@PeterMcCormack,14 h
"Peter McCormack
@PeterMcCormack
·
18 h
#bitcoin is 4% off an all time high.
102
118
1,9 mil",#bitcoin is 4% off an all time high.,@PeterMcCormack,18 h
"Peter McCormack
@PeterMcCormack
·
18 h
The first few days of intermittent fasting were hard. Body and mind have readjusted and I’ve noticed some early benefits:
- More energy
- Sleeping better
- Losing weight

Feels good. Thanks to all those who sent tips.
163
45
1,3 mil","The first few days of intermittent fasting were hard. Body and mind have readjusted and I’ve noticed some early benefits:
- More energy
- Sleeping better
- Losing weight

Feels good. Thanks to all those who sent tips.",@PeterMcCormack,18 h
"Peter McCormack
@PeterMcCormack
·
21 h
The great #bitcoin dip of Oct 17th, 13.49 PT.
88
56
1 mil","The great #bitcoin dip of Oct 17th, 13.49 PT.",@PeterMcCormack,21 h
"Peter McCormack
@PeterMcCormack
·
17 de out
“It is difficult to get a billionaire to understand the Cantillon effect when his net wealth depends upon his not understanding it.”
- Elizabth McWarren
19
18
267","“It is difficult to get a billionaire to understand the Cantillon effect when his net wealth depends upon his not understanding it.”
- Elizabth McWarren",@PeterMcCormack,17 de out
"Peter McCormack
@PeterMcCormack
·
17 de out
Debate summary…
Bitcoiners:
- Protect wealth disparity, human rights, inflation risk
- SoV and provable growing MoE


@mcuban
:
- Buy cinema tickets, Mavericks merch, have fun losing money with Doge
- My investments are better

Billionaire things, totally not out of touch.
78
79
779
Mostrar esta sequência","Debate summary…
Bitcoiners:
- Protect wealth disparity, human rights, inflation risk
- SoV and provable growing MoE


@mcuban
:
- Buy cinema tickets, Mavericks merch, have fun losing money with Doge
- My investments are better

Billionaire things, totally not out of touch.",@PeterMcCormack,17 de out
"Peter McCormack
@PeterMcCormack
·
17 de out
People on Twitter telling me I’m dumb like I don’t already know 
262
113
2,5 mil",People on Twitter telling me I’m dumb like I don’t already know ,@PeterMcCormack,17 de out
"Peter McCormack
@PeterMcCormack
·
16 de out
Foundation is so disappointing.

Roll on season 3 of Succession.
54
6
169","Foundation is so disappointing.

Roll on season 3 of Succession.",@PeterMcCormack,16 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
I’ve been back in the US for 7 weeks, I’ve travelled to Texas, Massachusetts, Ohio, Tennesee, California, Nevada and Florida.

It feels like the states with the highest tax receive the worst service from their political leaders.
191
273
3,4 mil
Mostrar esta sequência","I’ve been back in the US for 7 weeks, I’ve travelled to Texas, Massachusetts, Ohio, Tennesee, California, Nevada and Florida.

It feels like the states with the highest tax receive the worst service from their political leaders.",@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
#bitcoin is winning.
Shitdollar is bust.
56
67
925","#bitcoin is winning.
Shitdollar is bust.",@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
I’ve been trying to convince my kids to pull ALL the equity out of their toys to buy more #Bitcoin . They said if this tweet gets over 10,000 likes then I’m a loser.

Please help me!
103
99
3,8 mil","I’ve been trying to convince my kids to pull ALL the equity out of their toys to buy more #Bitcoin . They said if this tweet gets over 10,000 likes then I’m a loser.

Please help me!",@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
Guns, God and Tungsten
28
6
179","Guns, God and Tungsten",@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
Hello $60k #bitcoin 
30
48
808",Hello $60k #bitcoin ,@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
15 de out
Can someone check on 
@michaeljburry
, 
@PeterSchiff
 and 
@steve_hanke
?
239
178
2,8 mil","Can someone check on 
@michaeljburry
, 
@PeterSchiff
 and 
@steve_hanke
?",@PeterMcCormack,15 de out
"Peter McCormack
@PeterMcCormack
·
14 de out
Journalists I trust...
- 
@joerogan
 
- 
@ggreenwald
 
- 
@mtaibbi
 
- 
@mtracey
 

Anyone else we can trust right now?
618
177
1,9 mil
Mostrar esta sequência","Journalists I trust...
- 
@joerogan
 
- 
@ggreenwald
 
- 
@mtaibbi
 
- 
@mtracey
 

Anyone else we can trust right now?",@PeterMcCormack,14 de out
"Peter McCormack
@PeterMcCormack
·
14 de out
Coming to LA tomorrow for a week, what’s new? Any football, I wanna see the new stadium.
77
130","Coming to LA tomorrow for a week, what’s new? Any football, I wanna see the new stadium.",@PeterMcCormack,14 de out
"Peter McCormack
@PeterMcCormack
·
13 de out
What has Austin got on a Wednesday night?
67
4
86",What has Austin got on a Wednesday night?,@PeterMcCormack,13 de out
"Peter McCormack
@PeterMcCormack
·
13 de out
Let’s go Brandon!
46
48
715",Let’s go Brandon!,@PeterMcCormack,13 de out
"Peter McCormack
@PeterMcCormack
·
11 de out
Just paid $16 for a tube of toothpaste, seems reasonable.
221
51
1,2 mil","Just paid $16 for a tube of toothpaste, seems reasonable.",@PeterMcCormack,11 de out
"Peter McCormack
@PeterMcCormack
·
11 de out
You don’t need to decentralise YouTube, you just need to build a competitor that isn’t run by softies.
360
257
4 mil","You don’t need to decentralise YouTube, you just need to build a competitor that isn’t run by softies.",@PeterMcCormack,11 de out
"Peter McCormack
@PeterMcCormack
·
11 de out
Any camera peeps in LA available on Friday and Sunday to film four interviews?

Email me on hello@whatbitcoindid.com with availability and rates.

Typically we use a three camera setup, one per guest and a wide angle.
13
3
54","Any camera peeps in LA available on Friday and Sunday to film four interviews?

Email me on hello@whatbitcoindid.com with availability and rates.

Typically we use a three camera setup, one per guest and a wide angle.",@PeterMcCormack,11 de out
"Peter McCormack
@PeterMcCormack
·
10 de out
Bring it home King.

FairPlay for Wilder, what a fight.
12
5
208","Bring it home King.

FairPlay for Wilder, what a fight.",@PeterMcCormack,10 de out
"Peter McCormack
@PeterMcCormack
·
9 de out
The Jets are playing at Tottenham’s stadium this weekend.



Perfect!
20
3
68","The Jets are playing at Tottenham’s stadium this weekend.



Perfect!",@PeterMcCormack,9 de out
"Peter McCormack
@PeterMcCormack
·
9 de out
OU Texas game was insane, damn!
27
5
104","OU Texas game was insane, damn!",@PeterMcCormack,9 de out
"Peter McCormack
@PeterMcCormack
·
9 de out
Let’s go Vegas 

POW POW 
16
1
81","Let’s go Vegas 

POW POW ",@PeterMcCormack,9 de out
"Peter McCormack
@PeterMcCormack
·
8 de out
Lots of offers of donations to fund my lawsuit v CSW. I’ve covered this personally so far and with some help from friends.

The fees are growing faster than cash flow but I’m not taking donations from Bitcoiners, keep your sats.

If any billionaires want to help then hola.
100
55
1 mil
Mostrar esta sequência","Lots of offers of donations to fund my lawsuit v CSW. I’ve covered this personally so far and with some help from friends.

The fees are growing faster than cash flow but I’m not taking donations from Bitcoiners, keep your sats.

If any billionaires want to help then hola.",@PeterMcCormack,8 de out
"Peter McCormack
@PeterMcCormack
·
8 de out
#bitcoin is Web 3.0…
- Nodes
- Privacy
- Sovereign

Fuck all those VCs selling some BS as web 3.0.
55
52
619","#bitcoin is Web 3.0…
- Nodes
- Privacy
- Sovereign

Fuck all those VCs selling some BS as web 3.0.",@PeterMcCormack,8 de out
"Peter McCormack
@PeterMcCormack
·
7 de out
We need more Peter’s in #bitcoin.
136
12
490",We need more Peter’s in #bitcoin.,@PeterMcCormack,7 de out
"Peter McCormack
@PeterMcCormack
·
7 de out
Great to be back in Austin, it’s no Nashville but I still loves it.

LA soon, watcha got?
77
9
275","Great to be back in Austin, it’s no Nashville but I still loves it.

LA soon, watcha got?",@PeterMcCormack,7 de out
"Peter McCormack
@PeterMcCormack
·
6 de out
#bitcoin $1tr market cap again
58
107
1,2 mil",#bitcoin $1tr market cap again,@PeterMcCormack,6 de out
"Peter McCormack
@PeterMcCormack
·
6 de out
So El Salvador's #bitcoin purchases are in the green.

I think 
@steve_hanke
 owes someone an apology.
209
608
5,2 mil","So El Salvador's #bitcoin purchases are in the green.

I think 
@steve_hanke
 owes someone an apology.",@PeterMcCormack,6 de out
"Peter McCormack
@PeterMcCormack
·
4 de out
.
@libsoftiktok
 is wild. Where do these crazies get hatched?
17
4
53",".
@libsoftiktok
 is wild. Where do these crazies get hatched?",@PeterMcCormack,4 de out
"Peter McCormack
@PeterMcCormack
·
4 de out
The Jets won? Holy shit.
24
9
147",The Jets won? Holy shit.,@PeterMcCormack,4 de out
"Peter McCormack
@PeterMcCormack
·
3 de out
Maneeeeeeeee 
26
5
154",Maneeeeeeeee ,@PeterMcCormack,3 de out
"Peter McCormack
@PeterMcCormack
·
2 de out
Wohhh, Guns n Roses playing Miami tonight.

LFG
66
12
386","Wohhh, Guns n Roses playing Miami tonight.

LFG",@PeterMcCormack,2 de out
