Field1,Text,Text1,Text2
"Preston Pysh
@PrestonPysh
·
15 de out
Hey 
@DaveRamsey
 are you still trying to convince people to pay down their houses early even though CPI keeps coming in at 5+% yet they have fixed rate fiat loans at 3%…for 30 years?
153
206
2,3 mil","Hey 
@DaveRamsey
 are you still trying to convince people to pay down their houses early even though CPI keeps coming in at 5+% yet they have fixed rate fiat loans at 3%…for 30 years?",@PrestonPysh,15 de out
"Preston Pysh
@PrestonPysh
·
15 de out
The irony of #Bitcoin is it was birthed from exponential growth in technology due to decades of globally coordinated, manipulated price signals & cost of capital...and through that, it's going to deliver a head-shot fatality to the corrupt system that incentivized it's existence.
76
214
1,3 mil","The irony of #Bitcoin is it was birthed from exponential growth in technology due to decades of globally coordinated, manipulated price signals & cost of capital...and through that, it's going to deliver a head-shot fatality to the corrupt system that incentivized it's existence.",@PrestonPysh,15 de out
"Preston Pysh
@PrestonPysh
·
15 de out
Whatever happened to Bitcoin cASH?
252
51
1,4 mil",Whatever happened to Bitcoin cASH?,@PrestonPysh,15 de out
"Preston Pysh
@PrestonPysh
·
13 de out
Vote and then title the poll in the comments.
Jamie Dimon
54,3%
Larry Fink
20,7%
Andrew Sorkin
25%
3.122 votos
·
Resultados finais
345
4
90",Vote and then title the poll in the comments.,@PrestonPysh,13 de out
"Preston Pysh
@PrestonPysh
·
15 de out
By the way, this #Bitcoin ETF will suck. The tracking error will suck, the fees will suck, the counterparty risk will suck... 

Unless you have serious account restrictions on how you can get access to owning Bitcoin, buy the real stuff.

And learn how to take self-custody of it.
242
594
4,8 mil","By the way, this #Bitcoin ETF will suck. The tracking error will suck, the fees will suck, the counterparty risk will suck... 

Unless you have serious account restrictions on how you can get access to owning Bitcoin, buy the real stuff.

And learn how to take self-custody of it.",@PrestonPysh,15 de out
"Preston Pysh
@PrestonPysh
·
12 de out
I'm talking with 
@100trillionUSD
 tomorrow.  Let's hear what you got for him?
533
139
3 mil","I'm talking with 
@100trillionUSD
 tomorrow.  Let's hear what you got for him?",@PrestonPysh,12 de out
"Preston Pysh
@PrestonPysh
·
10 de out
I’m talking with 
@parkeralewis
 tonight.  What topics would you like for us to cover?
108
7
340","I’m talking with 
@parkeralewis
 tonight.  What topics would you like for us to cover?",@PrestonPysh,10 de out
"Preston Pysh
@PrestonPysh
·
29 de set
I'm interviewing 
@BTCsessions
 tonight.  What do you guys have for him?
90
8
349","I'm interviewing 
@BTCsessions
 tonight.  What do you guys have for him?",@PrestonPysh,29 de set
"Preston Pysh
@PrestonPysh
·
13 de set
I'm talking with Matt 
@ODELL
 tonight.  What questions do you guys have for him?
219
22
725","I'm talking with Matt 
@ODELL
 tonight.  What questions do you guys have for him?",@PrestonPysh,13 de set
"Preston Pysh
@PrestonPysh
·
8 de set
Wow.  Just recorded a show with 
@mikealfred
.  He's a must follow and an absolute wealth of knowledge.
70
30
751","Wow.  Just recorded a show with 
@mikealfred
.  He's a must follow and an absolute wealth of knowledge.",@PrestonPysh,8 de set
