Field1,Text,Text1,Text2
"Tone Vays (#EndLockdowns)
@ToneVays
·
6 de out
I don't have a problem with the ""Build Back Better"" slogan, as long as the Socialist/Communist F*ckers who cause the collapse don't get to built anything ever again... Unfortunately that's who is pushing it!
17
26
152",@ToneVays,"I don't have a problem with the ""Build Back Better"" slogan, as long as the Socialist/Communist F*ckers who cause the collapse don't get to built anything ever again... Unfortunately that's who is pushing it!",6 de out
"Tone Vays (#EndLockdowns)
@ToneVays
·
6 de out
The ONLY way to void a 1984 reality of human slavery is if 60% of current elites (aka those with political/corporate power) are replaced by #Bitcoin hodlers
* I do NOT see ANY other path to Freedom
23
36
209",@ToneVays,The ONLY way to void a 1984 reality of human slavery is if 60% of current elites (aka those with political/corporate power) are replaced by ,6 de out
"Tone Vays (#EndLockdowns)
@ToneVays
·
4 de out
Just had 
@Chase
 business bank account closed as Gov 1980's rules say 100% on-line Business MUST have physical address & NOT a Mail Service.
- Yet that didn't stop them sending a check w/ ALL my money to that Mail Service which I won't get to for months as I fly out to Dubai
11
14
165
Mostrar esta sequência",@ToneVays,Just had ,4 de out
"Tone Vays (#EndLockdowns)
@ToneVays
·
4 de out
So much mis-information on NHL player Josh Archibald's season ending due to Myocarditis (inflammation of heart muscle causing abnormal heart beats).
* Is it from #Covid19 or from 1st Jab (which still classifies him as 'unvaccinated'). 
Did YOU have Myocarditis?
Yes, After Covid19
5,4%
Yes, After 1st or 2nd Jab
10,5%
Jabbed, Never had Issues
22%
No Covid / See Resuls
62,2%
687 votos
·
Resultados finais
11
10
18",@ToneVays,"So much mis-information on NHL player Josh Archibald's season ending due to Myocarditis (inflammation of heart muscle causing abnormal heart beats).
* Is it from ",4 de out
"Tone Vays (#EndLockdowns)
@ToneVays
·
29 de set
So how long before 
@Twitter
 bans #vaccineinjured ?
This Week
41,8%
Next Month
25,8%
By End of Year
18,7%
Next Year or Never
13,7%
685 votos
·
Resultados finais
6
8
30",@ToneVays,So how long before ,29 de set
"Tone Vays (#EndLockdowns)
@ToneVays
·
27 de set
Let's do a more interesting poll whether 
@POTUS
 (aka Sleepy 
@JoeBiden
) got a real Booster Shot for #COVID19 Today
Real Vaxx, Now Booster
16,9%
Real ONLY if Kamala Jab'd
3,9%
Real, but was NOT Biden
5,5%
He Got a Placebo
73,7%
1.127 votos
·
Resultados finais
21
12
39",@ToneVays,Let's do a more interesting poll whether ,27 de set
"Tone Vays (#EndLockdowns)
@ToneVays
·
26 de set
About half the people I know had adverse affects of the Experimental Jab, but the sad thing is, more than 50% of them, didn't want to do it, but had to for a bunch reasons (travel, job, schoo, family/friend pressure, ect).
* If you had adverse affects, inform the world!
103
122
732",@ToneVays,"About half the people I know had adverse affects of the Experimental Jab, but the sad thing is, more than 50% of them, didn't want to do it, but had to for a bunch reasons (travel, job, schoo, family/friend pressure, ect).
* If you had adverse affects, inform the world!",26 de set
"Tone Vays (#EndLockdowns)
@ToneVays
·
23 de set
This is a really important poll so please be honest:
- What is your knowledge of your blood type in relation to your #Covid Vaccine Status?
* Inspired by 
@vaccine_Ls
Vaxxed + know blood type
19,4%
Vaxxed, don't know blood
14,9%
Un-Vaxxed know blood type
32,8%
Un-Vaxxed dont know blood
32,9%
1.783 votos
·
Resultados finais
14
11
39",@ToneVays,"This is a really important poll so please be honest:
- What is your knowledge of your blood type in relation to your ",23 de set
"Tone Vays (#EndLockdowns)
@ToneVays
·
20 de set
So who is the governor of the ""People's Republic of Comifornia""?
* Serious question, what happened with recall election 
38
8
107",@ToneVays,"So who is the governor of the ""People's Republic of Comifornia""?
* Serious question, what happened with recall election ",20 de set
"Tone Vays (#EndLockdowns)
@ToneVays
·
20 de set
My 17yr old cousin just lost her job as a hostess in NY cause she refused to Vaccinate!!! 
217
88
1,2 mil",@ToneVays,My 17yr old cousin just lost her job as a hostess in NY cause she refused to Vaccinate!!! ,20 de set
