Field1,Text,Text1,Text2
"WhalePanda
@WhalePanda
·
25 de ago
I'm retiring my Twitter account. 
I've been in this space for 8 years & it's time for me to move on.
I've always felt as a bit of an outsider but within this community I discovered that there are way weirder mfers out there than me. Which is totally fine. Be weird, be different.
498
201
4 mil
Mostrar esta sequência",@WhalePanda,"I'm retiring my Twitter account. 
I've been in this space for 8 years & it's time for me to move on.
I've always felt as a bit of an outsider but within this community I discovered that there are way weirder mfers out there than me. Which is totally fine. Be weird, be different.",25 de ago
"WhalePanda
@WhalePanda
·
19 de ago
Going all in on NFTs is the new going 100x leverage on BTC on Bitmex.
28
17
196",@WhalePanda,Going all in on NFTs is the new going 100x leverage on BTC on Bitmex.,19 de ago
"WhalePanda
@WhalePanda
·
17 de ago
Going to make my 5 year old kid play around in paint, create a NFT and make millions.
26
9
151",@WhalePanda,"Going to make my 5 year old kid play around in paint, create a NFT and make millions.",17 de ago
"WhalePanda
@WhalePanda
·
14 de ago
The 2 biggest #Bitcoin conundrums:
1) Pizza gate: If I have 1 pizza, can I keep dividing it so I can feed the entire world with it?
2) Schröndinger's transaction: If you send a transfer, and the other person isn't online, did he really receive it?
51
64
555",@WhalePanda,The 2 biggest ,14 de ago
"WhalePanda
@WhalePanda
·
9 de ago
Imagine living in a country where a single 87 guy who probably has never touched a computer can stop an amandment about crypto.
You should probably move to a better country...
54
131
1,2 mil
Mostrar esta sequência",@WhalePanda,"Imagine living in a country where a single 87 guy who probably has never touched a computer can stop an amandment about crypto.
You should probably move to a better country...",9 de ago
"WhalePanda
@WhalePanda
·
8 de ago
Should I remove my 
@McDonalds
 hat now that we are back above $40k?
Keep, it started the pump
51,5%
Remove it, it's stupid
19,2%
Dont care, you're awesome
29,3%
1.157 votos
·
Resultados finais
15
2
15",@WhalePanda,Should I remove my ,8 de ago
"WhalePanda
@WhalePanda
·
6 de ago
I don't have senators to call. 
I feel left out.
20
6
95",@WhalePanda,"I don't have senators to call. 
I feel left out.",6 de ago
"WhalePanda
@WhalePanda
·
3 de ago
Remember when we had 9 green days in a row? those were fun times.
19
4
195",@WhalePanda,Remember when we had 9 green days in a row? those were fun times.,3 de ago
"WhalePanda
@WhalePanda
·
31 de jul
Unfollow the blue tick accounts.

This is a NFT collectors club and you’re hanging out with the boomers.

Walk up to the juice bar and say sup to the monkey next to you.

Follow the people who are aping into everything.

Twitter is a place to get smarter. Use it as such!
23
6
89",@WhalePanda,"Unfollow the blue tick accounts.

This is a NFT collectors club and you’re hanging out with the boomers.

Walk up to the juice bar and say sup to the monkey next to you.

Follow the people who are aping into everything.

Twitter is a place to get smarter. Use it as such!",31 de jul
"WhalePanda
@WhalePanda
·
28 de jul
Sometimes you just have to unfollow Udi.
17
5
93",@WhalePanda,Sometimes you just have to unfollow Udi.,28 de jul
