Field1,Text,Text1,Text2
"Brian Armstrong
@brian_armstrong
·
6 de out
Interesting how crypto communities are congregating on Discord, which has traditionally been used for gaming. The intersection between gaming and crypto will be huge. (Reminder: it's also intersecting with art, finance, identity, governance, etc...Crypto is eating the world.)
697
1,4 mil
8,1 mil",@brian_armstrong,"Interesting how crypto communities are congregating on Discord, which has traditionally been used for gaming. The intersection between gaming and crypto will be huge. (Reminder: it's also intersecting with art, finance, identity, governance, etc...Crypto is eating the world.)",6 de out
"Brian Armstrong
@brian_armstrong
·
6 de out
1/ I do worry that as companies get to be more successful, the number of attacks from press, politicians, and trolls on CEOs (and rounds of congressional testimony) makes the job not fun, and they leave from burn out. Gates, Page, Bezos...
878
1 mil
3,2 mil
Mostrar esta sequência",@brian_armstrong,"1/ I do worry that as companies get to be more successful, the number of attacks from press, politicians, and trolls on CEOs (and rounds of congressional testimony) makes the job not fun, and they leave from burn out. Gates, Page, Bezos...",6 de out
"Brian Armstrong
@brian_armstrong
·
4 de out
Would you rather use a self-custody or Coinbase-custody wallet to access Defi/NFTs from the main Coinbase app? Why?
Self-custody
63%
Coinbase-custody
23,1%
wtf are you talking about
13,9%
21.004 votos
·
Resultados finais
730
170
619
Mostrar esta sequência",@brian_armstrong,Would you rather use a self-custody or Coinbase-custody wallet to access Defi/NFTs from the main Coinbase app? Why?,4 de out
"Brian Armstrong
@brian_armstrong
·
15 de set
If fiat backed stablecoins really become inflation coins (not so stable), then how will we get a coin that is truly stable?

Perhaps something that tracks a basket of real world goods (purchasing power parity) using oracles?

Ideas welcome.
2,9 mil
1,3 mil
8,7 mil
Mostrar esta sequência",@brian_armstrong,"If fiat backed stablecoins really become inflation coins (not so stable), then how will we get a coin that is truly stable?

Perhaps something that tracks a basket of real world goods (purchasing power parity) using oracles?

Ideas welcome.",15 de set
"Brian Armstrong
@brian_armstrong
·
8 de set
1/ Some really sketchy behavior coming out of the SEC recently.
Story time…
3,4 mil
14,5 mil
36,3 mil
Mostrar esta sequência",@brian_armstrong,"1/ Some really sketchy behavior coming out of the SEC recently.
Story time…",8 de set
"Brian Armstrong
@brian_armstrong
·
10 de ago
1/ While the damaging language in the infrastructure bill remains, we all owe Sens. 
@RonWyden
 
@SenLummis
 and 
@sentoomey
 enormous thanks for their work trying to protect innovation and the future of crypto in the United States.
443
652
4,7 mil
Mostrar esta sequência",@brian_armstrong,"1/ While the damaging language in the infrastructure bill remains, we all owe Sens. ",10 de ago
"Brian Armstrong
@brian_armstrong
·
9 de ago
By one measure it is getting harder and harder to get hired at Coinbase:

Applicants per hire 2019/2020/2021 => 108/133/150
131
55
677",@brian_armstrong,"By one measure it is getting harder and harder to get hired at Coinbase:

Applicants per hire 2019/2020/2021 => 108/133/150",9 de ago
"Brian Armstrong
@brian_armstrong
·
6 de ago
1/ There are a few key moments that define our future. One is happening now in the Senate w/ the infrastructure bill. At the 11th hour 
@MarkWarner
 has proposed an amendment that would decide which foundational technologies are OK and which are not in crypto. This is disastrous.
958
6,3 mil
22,6 mil
Mostrar esta sequência",@brian_armstrong,1/ There are a few key moments that define our future. One is happening now in the Senate w/ the infrastructure bill. At the 11th hour ,6 de ago
"Brian Armstrong
@brian_armstrong
·
4 de ago
1/ If you’ve been following threads on the Infrastructure bill, you know that there is a hastily conceived provision related to digital assets. This provision could have a profound negative impact on crypto in the US and unintentionally push more innovation offshore.
250
1,3 mil
4,4 mil
Mostrar esta sequência",@brian_armstrong,"1/ If you’ve been following threads on the Infrastructure bill, you know that there is a hastily conceived provision related to digital assets. This provision could have a profound negative impact on crypto in the US and unintentionally push more innovation offshore.",4 de ago
"Brian Armstrong
@brian_armstrong
·
28 de jun
1/ Reminder about how Coinbase lists assets: our goal is to list *every* asset where it is legal to do so.
980
455
2,1 mil
Mostrar esta sequência",@brian_armstrong,1/ Reminder about how Coinbase lists assets: our goal is to list *every* asset where it is legal to do so.,28 de jun
"Brian Armstrong
@brian_armstrong
·
14 de mai
1/ I spent most of this week in DC meeting with members of Congress and heads of various federal agencies, along with 
@RonConway
 
@katie_haun
 and 
@iampaulgrewal
.
192
712
3 mil
Mostrar esta sequência",@brian_armstrong,"1/ I spent most of this week in DC meeting with members of Congress and heads of various federal agencies, along with ",14 de mai
"Brian Armstrong
@brian_armstrong
·
14 de mai
9 years ago today, I founded Coinbase. One of the most important lessons I come back after all this time is long-term focus.
867
2,4 mil
18,2 mil
Mostrar esta sequência",@brian_armstrong,"9 years ago today, I founded Coinbase. One of the most important lessons I come back after all this time is long-term focus.",14 de mai
"Brian Armstrong
@brian_armstrong
·
13 de abr
Tomorrow on 
@coinbase
’s public listing day, 
@pmarca
 will be interviewing myself, Coinbase co-founder 
@FEhrsam
, and Coinbase President & COO 
@emiliemc
 on YouTube Live. What questions would you like 
@pmarca
 to ask us? Thx!
1,3 mil
796
5,9 mil",@brian_armstrong,Tomorrow on ,13 de abr
