Field1,Text,Text1,Text2
"CZ  Binance
@cz_binance
·
8 h
Just had an issue on futures. A small number of users are affected. We will compensate for any losses incurred for those affected. Further details will be announced/communicated. 
20
420
2,7 mil",Just had an issue on futures. A small number of users are affected. We will compensate for any losses incurred for those affected. Further details will be announced/communicated. ,@cz_binance,8 h
"CZ  Binance
@cz_binance
·
9 h
Sitting beside 
@Eljaboom
 at dinner now. Meeting in person rocks. Finally putting a face to the name. Thank you for your support always. 
1,2 mil
835
3,2 mil",Sitting beside ,@cz_binance,9 h
"CZ  Binance
@cz_binance
·
10 h
#bitcoin is not the most limited supply asset. 
Time is.
1,9 mil
2,2 mil
13,7 mil
Mostrar esta sequência",#bitcoin,@cz_binance,10 h
"CZ  Binance
@cz_binance
·
13 de out
Crypto, CEX, ICO/IEO, DeFi, NFTs, GameFi, Metaverse, and then ... what's next?
9,1 mil
3,2 mil
17,8 mil","Crypto, CEX, ICO/IEO, DeFi, NFTs, GameFi, Metaverse, and then ... what's next?",@cz_binance,13 de out
"CZ  Binance
@cz_binance
·
8 de out
Keep it simple. Keep it fast.
3,7 mil
2,4 mil
16,8 mil",Keep it simple. Keep it fast.,@cz_binance,8 de out
"CZ  Binance
@cz_binance
·
6 de out
I need more…
8,6 mil
2,6 mil
17,8 mil",I need more…,@cz_binance,6 de out
"CZ  Binance
@cz_binance
·
4 de out
Inshallah
9,5 mil
12,3 mil
43,4 mil",Inshallah,@cz_binance,4 de out
"CZ  Binance
@cz_binance
·
3 de out
There was an interesting discussion about putting embassies in the metaverse.
Immersive experience
Easier to access, globally
Trendy with the next generation
Blockchain level authenticity
much lower cost than physical buildings
what else?
1,2 mil
1,2 mil
5,5 mil","There was an interesting discussion about putting embassies in the metaverse.
",@cz_binance,3 de out
"CZ  Binance
@cz_binance
·
29 de set
Blockchain is not the future, it is the present.

(quoting a very traditional investor I met today)

Don’t be left behind.
35
2,2 mil
9,8 mil","Blockchain is not the future, it is the present.

(quoting a very traditional investor I met today)

Don’t be left behind.",@cz_binance,29 de set
"CZ  Binance
@cz_binance
·
28 de set
#BinanceSmartChain
42
974
7 mil",#BinanceSmartChain,@cz_binance,28 de set
"CZ  Binance
@cz_binance
·
24 de set
Unpopular opinion: project founder tokens should unlock over a 10 year period, not shorter. 

Ie, not 4 year, definitely not 1.5 year periods. 

Must have long term commitment.
1,8 mil
1,7 mil
11,2 mil
Mostrar esta sequência","Unpopular opinion: project founder tokens should unlock over a 10 year period, not shorter. 

Ie, not 4 year, definitely not 1.5 year periods. 

Must have long term commitment.",@cz_binance,24 de set
"CZ  Binance
@cz_binance
·
22 de set
In the long run, it’s called a dip.
52
2,1 mil
12,5 mil","In the long run, it’s called a dip.",@cz_binance,22 de set
"CZ  Binance
@cz_binance
·
21 de set
Live now.
2,6 mil
676
6,6 mil",Live now.,@cz_binance,21 de set
"CZ  Binance
@cz_binance
·
18 de set
Don't get distracted by noise.
29
1,4 mil
8,6 mil",Don't get distracted by noise.,@cz_binance,18 de set
"CZ  Binance
@cz_binance
·
16 de set
80% of success is just being there. Get involved.
30
1,4 mil
8,3 mil",80% of success is just being there. Get involved.,@cz_binance,16 de set
"CZ  Binance
@cz_binance
·
16 de set
We live in a world where it is bad to discriminate based on color, age, sex, etc. But it is ok to label someone a “not accredited investor”, the default assumption. Isn’t that like saying someone is not smart enough to invest or manage their own finances? More education needed.
22
1,2 mil
6,2 mil","We live in a world where it is bad to discriminate based on color, age, sex, etc. But it is ok to label someone a “not accredited investor”, the default assumption. Isn’t that like saying someone is not smart enough to invest or manage their own finances? More education needed.",@cz_binance,16 de set
"CZ  Binance
@cz_binance
·
11 de set
Last week, we saw traffic, users and customer support numbers at or close to ATH again. Let's see what follows.
14
510
3,9 mil","Last week, we saw traffic, users and customer support numbers at or close to ATH again. Let's see what follows.",@cz_binance,11 de set
"CZ  Binance
@cz_binance
·
11 de set
#bitcoin continues to grow.
22
1,5 mil
10,8 mil",#bitcoin,@cz_binance,11 de set
"CZ  Binance
@cz_binance
·
10 de set
5 more languages added to 
@CoinMarketCap
 mobile app last week.

Portuguese
Hindi
Chinese Traditional
Polish
Ukrainian
17
623
5,1 mil",5 more languages added to ,@cz_binance,10 de set
"CZ  Binance
@cz_binance
·
10 de set
NFTs will create the next Renaissance art period.
25
1,8 mil
8,4 mil",NFTs will create the next Renaissance art period.,@cz_binance,10 de set
"CZ  Binance
@cz_binance
·
9 de set
There is so much mis-information in the world that if you believe everything you read, you will be quite poor. 
1,9 mil
2,8 mil
14,8 mil","There is so much mis-information in the world that if you believe everything you read, you will be quite poor. ",@cz_binance,9 de set
"CZ  Binance
@cz_binance
·
8 de set
""news"": binance banned in SG.

Facts: Binance Singapore, an independent entity, is operating in Singapore. It is operating under the specific exemption of MAS, while going through the licensing application process.
23
632
4 mil","""news"": binance banned in SG.

Facts: Binance Singapore, an independent entity, is operating in Singapore. It is operating under the specific exemption of MAS, while going through the licensing application process.",@cz_binance,8 de set
"CZ  Binance
@cz_binance
·
8 de set
Regardless of some people panic selling, we are still here and working to build more use cases for #crypto.
31
1,4 mil
7,1 mil","Regardless of some people panic selling, we are still here and working to build more use cases for ",@cz_binance,8 de set
"CZ  Binance
@cz_binance
·
7 de set
To be a successful trader, you need to handle two emotions: greed and fear.
34
3,6 mil
15 mil","To be a successful trader, you need to handle two emotions: greed and fear.",@cz_binance,7 de set
"CZ  Binance
@cz_binance
·
7 de set
So far, only 1 country in the world uses #crypto as legal tender. Just the beginning.
1,8 mil
3,5 mil
23,2 mil","So far, only 1 country in the world uses ",@cz_binance,7 de set
