Field1,Text,Text1,Text2
"Laura Shin
@laurashin
·
19 de set
In the US, we typically pronounce ETH like eeth. 

In Europe, they typically pronounce it “eh” with a “th” sound at the end. 

Is there one right way to say it? Apparently not. So just say it whatever way feels more comfortable to you and don’t care what other people think 
366
75
662",@laurashin,"In the US, we typically pronounce ETH like eeth. 

In Europe, they typically pronounce it “eh” with a “th” sound at the end. 

Is there one right way to say it? Apparently not. So just say it whatever way feels more comfortable to you and don’t care what other people think ",19 de set
"Laura Shin
@laurashin
·
3 de set
For an upcoming event:

If I were to do a panel called ""NFT controversy,"" who are the panelists that come to mind?
74
12
73",@laurashin,"For an upcoming event:

If I were to do a panel called ""NFT controversy,"" who are the panelists that come to mind?",3 de set
"Laura Shin
@laurashin
·
31 de ago
What would you want to hear about in Friday’s show? (Nominate guests in comments)
UTA + CryptoPunks, etc.
30,4%
Liq. mining competition
15,5%
FTX/LedgerX deal
35,9%
Other (comments)
18,2%
329 votos
·
Resultados finais
21
2
13",@laurashin,What would you want to hear about in Friday’s show? (Nominate guests in comments),31 de ago
"Laura Shin
@laurashin
·
30 de jun
Hey all, what would you like me to ask 
@SBF_Alameda
 of 
@FTX_Official
?
179
18
317",@laurashin,"Hey all, what would you like me to ask 
@SBF_Alameda
 of 
@FTX_Official
?",30 de jun
"Laura Shin
@laurashin
·
9 de jun
Hey everyone,

  
@Unchained_pod
 turns 5 on June 14th  

To celebrate, next week's pod will be an AMA using questions posed by you 

To ask a question:

1. comment below
2. note how you want to be identified, and how to pronounce it 


34
11
120",@laurashin,"Hey everyone,

  
@Unchained_pod
 turns 5 on June 14th  

To celebrate, next week's pod will be an AMA using questions posed by you 

To ask a question:

1. comment below
2. note how you want to be identified, and how to pronounce it 

",9 de jun
"Laura Shin
@laurashin
·
30 de abr
Hey everyone! 
@laurashin
 is now live on Instagram!

If I hit 5k followers within a week, I'll send a lucky new follower an 
@Unchained_pod
 t-shirt + hat 
14
1
80",@laurashin,"Hey everyone! 
@laurashin
 is now live on Instagram!

If I hit 5k followers within a week, I'll send a lucky new follower an 
@Unchained_pod
 t-shirt + hat ",30 de abr
"Laura Shin
@laurashin
·
13 de mar
$60k #btc!
12
20
343",@laurashin,$60k #btc!,13 de mar
"Laura Shin
@laurashin
·
11 de mar
The Christie’s auction for 
@beeple
’s first 5,000 days closed at $60.25 million 

Congrats, 
@beeple
!
4
11
40
Mostrar esta sequência",@laurashin,"The Christie’s auction for 
@beeple
’s first 5,000 days closed at $60.25 million 

Congrats, 
@beeple
!",11 de mar
"Laura Shin
@laurashin
·
25 de fev
Did anyone else tear up seeing that Coinbase sent a copy of its S-1 to Satoshi's address? 

I did -- but I'm also always that one person amongst all my friends who cried during the movie when no one else did 
18
19
345",@laurashin,"Did anyone else tear up seeing that Coinbase sent a copy of its S-1 to Satoshi's address? 

I did -- but I'm also always that one person amongst all my friends who cried during the movie when no one else did ",25 de fev
"Laura Shin
@laurashin
·
20 de jan
What do you think are the top crypto news stories this week?
65
3
66",@laurashin,What do you think are the top crypto news stories this week?,20 de jan
