Field1,Text,Text1,Text2
"Elon Musk
@elonmusk
·
16 h
Can’t wait to be in Genshin Impact 
13,1 mil
42,6 mil
228 mil",@elonmusk,16 h,Can’t wait to be in Genshin Impact 
"Elon Musk
@elonmusk
·
9 de out
Giga Berlin-Brandenburg Spaß-Party heute!
5,3 mil
4,7 mil
84,3 mil",@elonmusk,9 de out,Giga Berlin-Brandenburg Spaß-Party heute!
"Elon Musk
@elonmusk
·
7 de out
FSD Beta 10.2 rolls out Friday midnight to ~1000 owners with perfect 100/100 safety scores. 

Rollouts will hold for several days after that to see how it goes. 

If that looks good, beta will gradually begin rolling out to 99 scores & below.
12,8 mil
4,6 mil
54,3 mil
Mostrar esta sequência",@elonmusk,7 de out,"FSD Beta 10.2 rolls out Friday midnight to ~1000 owners with perfect 100/100 safety scores. 

Rollouts will hold for several days after that to see how it goes. 

If that looks good, beta will gradually begin rolling out to 99 scores & below."
"Elon Musk
@elonmusk
·
24 de set
FSD Beta request button goes live tonight, but FSD 10.1 needs another 24 hours of testing, so out tomorrow night
8,2 mil
5,3 mil
64 mil
Mostrar esta sequência",@elonmusk,24 de set,"FSD Beta request button goes live tonight, but FSD 10.1 needs another 24 hours of testing, so out tomorrow night"
"Elon Musk
@elonmusk
·
21 de set
Just met with the 
@Inspiration4x
 crew in Florida to congratulate them in person. Such great people!
5,7 mil
4,6 mil
88,6 mil",@elonmusk,21 de set,Just met with the 
"Elon Musk
@elonmusk
·
18 de set
Congratulations 
@Inspiration4x
!!!
8,2 mil
9 mil
125,5 mil",@elonmusk,18 de set,Congratulations 
"Elon Musk
@elonmusk
·
17 de set
Good feedback from FSD Beta 10 users! 10.0.1 point release rolling out now. 

10.1 rolls out a week from Friday with beta request button.
4,3 mil
3 mil
43,4 mil",@elonmusk,17 de set,"Good feedback from FSD Beta 10 users! 10.0.1 point release rolling out now. 

10.1 rolls out a week from Friday with beta request button."
"Elon Musk
@elonmusk
·
16 de set
Just spoke with 
@inspiration4x
 crew. All is well.
6,7 mil
5,9 mil
109,3 mil",@elonmusk,16 de set,Just spoke with 
"Elon Musk
@elonmusk
·
15 de set
Watch Countdown on Netflix about Inspiration4 mission launching today
8,5 mil
9,5 mil
111,9 mil",@elonmusk,15 de set,Watch Countdown on Netflix about Inspiration4 mission launching today
"Elon Musk
@elonmusk
·
10 de set
Metallurgy Rūlz
6,3 mil
5 mil
76,4 mil",@elonmusk,10 de set,Metallurgy Rūlz
"Elon Musk
@elonmusk
·
3 de set
Time is the ultimate currency
32,6 mil
77,5 mil
476,6 mil",@elonmusk,3 de set,Time is the ultimate currency
"Elon Musk
@elonmusk
·
1 de set
FSD Beta 10 rolls out midnight Friday next week
4,5 mil
4,1 mil
62,5 mil
Mostrar esta sequência",@elonmusk,1 de set,FSD Beta 10 rolls out midnight Friday next week
"Elon Musk
@elonmusk
·
14 de ago
Mad respect for the makers
14,4 mil
15,6 mil
222,2 mil",@elonmusk,14 de ago,Mad respect for the makers
"Elon Musk
@elonmusk
·
13 de ago
Giga Berlin-Brandenburg county fair & factory tour on 9 October!
5,2 mil
4,7 mil
75,2 mil
Mostrar esta sequência",@elonmusk,13 de ago,Giga Berlin-Brandenburg county fair & factory tour on 9 October!
"Elon Musk
@elonmusk
·
4 de ago
If you’re curious about Tesla, SpaceX & my general goings on, 
@WalterIsaacson
 is writing a biography
8,4 mil
9,4 mil
144,4 mil",@elonmusk,4 de ago,"If you’re curious about Tesla, SpaceX & my general goings on, "
"Elon Musk
@elonmusk
·
30 de jul
Apple app store fees are a de facto global tax on the Internet. Epic is right.
16,7 mil
20,1 mil
235,4 mil",@elonmusk,30 de jul,Apple app store fees are a de facto global tax on the Internet. Epic is right.
"Elon Musk
@elonmusk
·
29 de jul
Tesla AI Day August 19th
15,4 mil
13,9 mil
184,1 mil",@elonmusk,29 de jul,Tesla AI Day August 19th
"Elon Musk
@elonmusk
·
26 de jul
The Biggest Bang Theory
14,7 mil
13 mil
208,2 mil",@elonmusk,26 de jul,The Biggest Bang Theory
"Elon Musk
@elonmusk
·
19 de jul
Full test duration firing of 3 Raptors on Super Heavy Booster!
8,4 mil
6,5 mil
141,5 mil",@elonmusk,19 de jul,Full test duration firing of 3 Raptors on Super Heavy Booster!
