Field1,Text,Text1,Text2
"Naval
@naval
·
19 h
Outsource everything except being.
192
885
8,2 mil",@naval,Outsource everything except being.,19 h
"Naval
@naval
·
16 de out
Crypto is to venture as venture is to value.
99
308
3,8 mil",@naval,Crypto is to venture as venture is to value.,16 de out
"Naval
@naval
·
14 de out
When choosing between investments, ask yourself, “where is my dollar going to work the hardest?”
246
974
8,3 mil",@naval,"When choosing between investments, ask yourself, “where is my dollar going to work the hardest?”",14 de out
"Naval
@naval
·
12 de out
Web 2: Users are the data, corporations own the platform, and the code is closed.

Web 3: Users own their data, contributors own the platform, and the code is open.
263
3 mil
14,1 mil",@naval,"Web 2: Users are the data, corporations own the platform, and the code is closed.

Web 3: Users own their data, contributors own the platform, and the code is open.",12 de out
"Naval
@naval
·
11 de out
One way to decentralize store of value is to have millions of validating nodes.

Another way to decentralize store of value is to have millions of different assets.
257
639
6 mil",@naval,"One way to decentralize store of value is to have millions of validating nodes.

Another way to decentralize store of value is to have millions of different assets.",11 de out
"Naval
@naval
·
8 de out
If your income is coming from labor rather than assets, you’re being decimated by hidden inflation.
527
5,3 mil
32,9 mil",@naval,"If your income is coming from labor rather than assets, you’re being decimated by hidden inflation.",8 de out
"Naval
@naval
·
28 de set
Two kinds of fools - those who take religion literally, and those who think it has no value.
405
2,7 mil
15,9 mil",@naval,"Two kinds of fools - those who take religion literally, and those who think it has no value.",28 de set
"Naval
@naval
·
23 de set
If your idea of money is what it was yesterday, you will lose it to the people who know what money will be tomorrow.
412
4,3 mil
23,5 mil",@naval,"If your idea of money is what it was yesterday, you will lose it to the people who know what money will be tomorrow.",23 de set
"Naval
@naval
·
20 de set
Decentralized social networking is waiting for its Satoshi moment.
533
1,6 mil
14,7 mil",@naval,Decentralized social networking is waiting for its Satoshi moment.,20 de set
"Naval
@naval
·
20 de set
Work on a crypto-system, and your work may last lifetimes.

Work on a walled garden, and your work will land in the dustbin of history.
174
705
5,6 mil",@naval,"Work on a crypto-system, and your work may last lifetimes.

Work on a walled garden, and your work will land in the dustbin of history.",20 de set
"Naval
@naval
·
17 de set
If you can buy happiness, buy it.
644
4,9 mil
25,2 mil",@naval,"If you can buy happiness, buy it.",17 de set
"Naval
@naval
·
16 de set
Spend your time in the company of geniuses, sages, children, and books.
419
3,6 mil
23,3 mil",@naval,"Spend your time in the company of geniuses, sages, children, and books.",16 de set
"Naval
@naval
·
15 de set
The modern secular religion casts humanity as the devil and the state as the savior.
302
2,9 mil
15,6 mil",@naval,The modern secular religion casts humanity as the devil and the state as the savior.,15 de set
"Naval
@naval
·
13 de set
The paradox of inflation is that employment, investment, and wealth all boom before the whole house of cards collapses.
167
778
9,2 mil",@naval,"The paradox of inflation is that employment, investment, and wealth all boom before the whole house of cards collapses.",13 de set
"Naval
@naval
·
8 de set
The food pyramid has been upside down for thirty years.
206
778
8,6 mil",@naval,The food pyramid has been upside down for thirty years.,8 de set
"Naval
@naval
·
8 de set
Every digital object with a credible fan base will be used to store value, not just Bitcoin.
411
1,1 mil
8,6 mil",@naval,"Every digital object with a credible fan base will be used to store value, not just Bitcoin.",8 de set
"Naval
@naval
·
6 de set
Can you define the word “country” without using the concept of a border?
1,8 mil
792
7,3 mil",@naval,Can you define the word “country” without using the concept of a border?,6 de set
"Naval
@naval
·
6 de set
The best run countries are the smallest republics that can defend their own borders.
291
587
7,3 mil",@naval,The best run countries are the smallest republics that can defend their own borders.,6 de set
"Naval
@naval
·
4 de set
Pure democracies can degenerate into autocracies. Republics are what you want.
132
384
3,8 mil",@naval,Pure democracies can degenerate into autocracies. Republics are what you want.,4 de set
"Naval
@naval
·
4 de set
Cancel culture brings high school politics to the adult world.
155
2,4 mil
16,9 mil",@naval,Cancel culture brings high school politics to the adult world.,4 de set
"Naval
@naval
·
3 de set
NFT avatars are the new blue checkmarks.
558
1 mil
7 mil",@naval,NFT avatars are the new blue checkmarks.,3 de set
"Naval
@naval
·
27 de ago
Which will end first?
War on Terror
2,8%
War on Drugs
14,5%
War on COVID
51,8%
War on Afghanistan
30,8%
51.480 votos
·
Resultados finais
431
269
1 mil",@naval,Which will end first?,27 de ago
"Naval
@naval
·
22 de ago
The people working on finance, games, art, social networking, and the metaverse, but who still don’t get crypto, are in for a surprise.
286
1,8 mil
14,3 mil",@naval,"The people working on finance, games, art, social networking, and the metaverse, but who still don’t get crypto, are in for a surprise.",22 de ago
"Naval
@naval
·
19 de ago
Request for Instagram versions of my tweets…

I’ll post the best ones on my Instagram and give you attribution
266
135
3,5 mil
Mostrar esta sequência",@naval,"Request for Instagram versions of my tweets…

I’ll post the best ones on my Instagram and give you attribution",19 de ago
"Naval
@naval
·
19 de ago
In the physical world, every object is scarce.

In the digital world, every object is abundant.

In a digital world made of NFTs, every object is scarce again.
314
1,1 mil
7,6 mil",@naval,"In the physical world, every object is scarce.

In the digital world, every object is abundant.

In a digital world made of NFTs, every object is scarce again.",19 de ago
"Naval
@naval
·
19 de ago
A saved tweet is a tweet never sent.
103
218
3 mil",@naval,A saved tweet is a tweet never sent.,19 de ago
"Naval
@naval
·
15 de ago
Behold - the first generation unashamed of sex.
187
587
6,8 mil",@naval,Behold - the first generation unashamed of sex.,15 de ago
"Naval
@naval
·
15 de ago
It’s a rare creative who dares to be happy.
137
876
7,8 mil",@naval,It’s a rare creative who dares to be happy.,15 de ago
"Naval
@naval
·
15 de ago
Most democracies are run by a nameless, faceless bureaucracy, unaware of its own existence.
122
714
6,1 mil",@naval,"Most democracies are run by a nameless, faceless bureaucracy, unaware of its own existence.",15 de ago
"Naval
@naval
·
8 de ago
The inevitable endpoint of crypto is maximum decentralization and maximum privacy.
382
1,7 mil
12,3 mil",@naval,The inevitable endpoint of crypto is maximum decentralization and maximum privacy.,8 de ago
"Naval
@naval
·
31 de jul
You cannot quiet the mind, you can only watch it.
365
2 mil
14,3 mil",@naval,"You cannot quiet the mind, you can only watch it.",31 de jul
"Naval
@naval
·
31 de jul
Your mistake is that you’re writing to be read.
375
2,7 mil
19,6 mil",@naval,Your mistake is that you’re writing to be read.,31 de jul
"Naval
@naval
·
29 de jul
The engineer shortage won’t end until coding fluency is as common as literacy and numeracy.
370
1,5 mil
13,7 mil",@naval,The engineer shortage won’t end until coding fluency is as common as literacy and numeracy.,29 de jul
"Naval
@naval
·
23 de jul
When intermittent fasting, it’s easier to eat healthy in the daytime than in the evening, before willpower depletion and social pressures set in.
201
543
7,5 mil",@naval,"When intermittent fasting, it’s easier to eat healthy in the daytime than in the evening, before willpower depletion and social pressures set in.",23 de jul
"Naval
@naval
·
12 de jul
We live in the age of wonders, but familiarity has struck us blind.
139
1,3 mil
9,7 mil",@naval,"We live in the age of wonders, but familiarity has struck us blind.",12 de jul
"Naval
@naval
·
10 de jul
It’s “wisdom of markets,” not “wisdom of crowds.”
122
541
5,8 mil",@naval,"It’s “wisdom of markets,” not “wisdom of crowds.”",10 de jul
"Naval
@naval
·
9 de jul
Take no other monkey’s word for it.
115
497
5,3 mil",@naval,Take no other monkey’s word for it.,9 de jul
"Naval
@naval
·
9 de jul
The good life is the fruit of understanding, freedom from care, and effortless self-discipline.
131
1,3 mil
7,9 mil",@naval,"The good life is the fruit of understanding, freedom from care, and effortless self-discipline.",9 de jul
"Naval
@naval
·
20 de jun
Forget 10x engineers, there are 100x and 1000x engineers out there.
166
417
4,7 mil
Mostrar esta sequência",@naval,"Forget 10x engineers, there are 100x and 1000x engineers out there.",20 de jun
"Naval
@naval
·
20 de jun
Live long enough, and you’ll become a philosopher.
217
751
6,8 mil",@naval,"Live long enough, and you’ll become a philosopher.",20 de jun
"Naval
@naval
·
20 de jun
The problem with modern culture is that atheism finally reached the masses.
683
1,6 mil
11,9 mil",@naval,The problem with modern culture is that atheism finally reached the masses.,20 de jun
"Naval
@naval
·
18 de jun
A fit mind is a clear mind.
168
1,2 mil
10,5 mil",@naval,A fit mind is a clear mind.,18 de jun
"Naval
@naval
·
25 de mai
A Central Bank Digital Currency (CBDC) is the opposite of a cryptocurrency. 

It is the complete centralization of money, with no intermediary banks or monetary instruments, under the all-seeing state.
367
2,6 mil
13,3 mil",@naval,"A Central Bank Digital Currency (CBDC) is the opposite of a cryptocurrency. 

It is the complete centralization of money, with no intermediary banks or monetary instruments, under the all-seeing state.",25 de mai
"Naval
@naval
·
22 de mai
To retain innocence, reduce judgements.
170
1,2 mil
10 mil",@naval,"To retain innocence, reduce judgements.",22 de mai
"Naval
@naval
·
22 de mai
Colocate the creative team, remote everyone else.
120
592
5,6 mil",@naval,"Colocate the creative team, remote everyone else.",22 de mai
"Naval
@naval
·
16 de mai
Eventually, everybody will be in the creator economy.
334
1,8 mil
14,2 mil",@naval,"Eventually, everybody will be in the creator economy.",16 de mai
"Naval
@naval
·
16 de mai
Good friends restrain you.
148
672
5,8 mil",@naval,Good friends restrain you.,16 de mai
"Naval
@naval
·
16 de mai
Life is about navigating a series of events that don’t quite repeat.
115
811
6,5 mil",@naval,Life is about navigating a series of events that don’t quite repeat.,16 de mai
"Naval
@naval
·
15 de mai
It’s not about moving money without gatekeepers, it’s about moving information. Money is just a special case of information.
143
884
6,8 mil",@naval,"It’s not about moving money without gatekeepers, it’s about moving information. Money is just a special case of information.",15 de mai
"Naval
@naval
·
8 de mai
Asset inflation (~) 2 yrs:

• Non-tech stocks: 33%
• Stocks: 45%
• Tech stocks: 75%
• Crypto: 10x
• Real Estate: 15%
• Oil: —
• Gold: 40%
• Commodities: 25%
• Agriculture: 25%

National savings being spent. 

If your portfolio isn’t up 30-50% (taxes), you’ve lost ground.
214
2,5 mil
13,6 mil",@naval,"Asset inflation (~) 2 yrs:

• Non-tech stocks: 33%
• Stocks: 45%
• Tech stocks: 75%
• Crypto: 10x
• Real Estate: 15%
• Oil: —
• Gold: 40%
• Commodities: 25%
• Agriculture: 25%

National savings being spent. 

If your portfolio isn’t up 30-50% (taxes), you’ve lost ground.",8 de mai
"Naval
@naval
·
3 de mai
Pain is a fact. 

Suffering is a choice.
310
3,3 mil
17,1 mil",@naval,"Pain is a fact. 

Suffering is a choice.",3 de mai
"Naval
@naval
·
3 de mai
You can never be too rich, too thin, or too clean.
464
1,1 mil
11,3 mil",@naval,"You can never be too rich, too thin, or too clean.",3 de mai
"Naval
@naval
·
2 de mai
On the bright side, we’re going to inflate our way out of student, housing, and pension debt…

Call it The National Bailout.
161
790
7,8 mil",@naval,"On the bright side, we’re going to inflate our way out of student, housing, and pension debt…

Call it The National Bailout.",2 de mai
"Naval
@naval
·
2 de mai
Every man is at war with himself, except a Buddha.
259
1,4 mil
12,9 mil",@naval,"Every man is at war with himself, except a Buddha.",2 de mai
"Naval
@naval
·
18 de abr
The problem with genius is that you have to tolerate madness.
278
2,1 mil
15,3 mil",@naval,The problem with genius is that you have to tolerate madness.,18 de abr
"Naval
@naval
·
17 de abr
Be wary of anything that starts with the word “social.”
562
2,2 mil
16,4 mil",@naval,Be wary of anything that starts with the word “social.”,17 de abr
"Naval
@naval
·
12 de abr
Optimistic, grateful, truthful.
123
1,2 mil
8 mil",@naval,"Optimistic, grateful, truthful.",12 de abr
"Naval
@naval
·
8 de abr
A future society will reunite the smart and the spiritual.
269
1,8 mil
12,2 mil",@naval,A future society will reunite the smart and the spiritual.,8 de abr
"Naval
@naval
·
7 de abr
The best brands are simple from afar, but sophisticated up close.
157
841
7,8 mil",@naval,"The best brands are simple from afar, but sophisticated up close.",7 de abr
