Field1,Text,Text1,Text2
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
18 de jul de 2020
Ever notice that none of 
@PeterSchiff
’s cheerleaders on social media are his clients? 

Think about it. 

Have you ever seen a tweet like, “I’m a EuroPac client and WOW so good....” 

No. Didn’t think so. 

Why? 

I think you know the answer.
41
27
368",@realmaxkeiser,18 de jul de 2020,"Ever notice that none of 
@PeterSchiff
’s cheerleaders on social media are his clients? 

Think about it. 

Have you ever seen a tweet like, “I’m a EuroPac client and WOW so good....” 

No. Didn’t think so. 

Why? 

I think you know the answer."
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
18 de jul de 2020
I just look at the market and the market says:  


@PeterSchiff
 
Calvin Ayre 
Craig Wright 
Roger Ver 

...to name 4, 
Are dead wrong and have been for years.   

There really is no argument to be made. They are just unequivocally wrong. 

Full stop.
28
26
336",@realmaxkeiser,18 de jul de 2020,"I just look at the market and the market says:  


@PeterSchiff
 
Calvin Ayre 
Craig Wright 
Roger Ver 

...to name 4, 
Are dead wrong and have been for years.   

There really is no argument to be made. They are just unequivocally wrong. 

Full stop."
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
18 de jul de 2020
Coinbase: “We pried the number 7 off a roulette wheel and offer it as an ‘asset’ on our ‘exchange’ because we know that number identifies as a business use case struggling for an identity.” 

#RandomNumbersLivesMatter
2
8
48",@realmaxkeiser,18 de jul de 2020,"Coinbase: “We pried the number 7 off a roulette wheel and offer it as an ‘asset’ on our ‘exchange’ because we know that number identifies as a business use case struggling for an identity.” 

#RandomNumbersLivesMatter"
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
4 de jul de 2020
Happy July 4th 

I’m protecting this 
@realmaxkeiser
 feed and will be using it to tweet exclusively to my followers here. Kind of like a big, Telegram group. 

Topics might be more focused on a meta look at media and markets.
173",@realmaxkeiser,4 de jul de 2020,"Happy July 4th 

I’m protecting this 
@realmaxkeiser
 feed and will be using it to tweet exclusively to my followers here. Kind of like a big, Telegram group. 

Topics might be more focused on a meta look at media and markets."
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
16 de jun de 2020
My primary 
@maxkeiser
 account is back! 

Thanks to my friends at 
@SwanBitcoin
 


37
43
454",@realmaxkeiser,16 de jun de 2020,"My primary 
@maxkeiser
 account is back! 

Thanks to my friends at 
@SwanBitcoin
 

"
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
15 de jun de 2020
What is the most cutthroat business?
Wall St
37,4%
Hollywood
20,3%
Crypto
11,8%
(see answer)
30,5%
1.269 votos
·
Resultados finais
13
9
15",@realmaxkeiser,15 de jun de 2020,What is the most cutthroat business?
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
13 de jun de 2020
When the Fed buys ‘asssts’ (over $6 trillion recently) it’s effectively laundering money for Wall St. criminals 

The dirty money gained via extortion (health insurance), loan sharking (credit cards) and selling drugs (prescription opioids) is swapped for clean T-bills
14
97
251",@realmaxkeiser,13 de jun de 2020,"When the Fed buys ‘asssts’ (over $6 trillion recently) it’s effectively laundering money for Wall St. criminals 

The dirty money gained via extortion (health insurance), loan sharking (credit cards) and selling drugs (prescription opioids) is swapped for clean T-bills"
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
13 de jun de 2020
America, not content losing wars against unarmed civilians in dirt poor countries, is now going to war against inanimate statues - and losing. 
5
17
113",@realmaxkeiser,13 de jun de 2020,"America, not content losing wars against unarmed civilians in dirt poor countries, is now going to war against inanimate statues - and losing. "
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
13 de jun de 2020
Are CHAZ, Arab Spring, Occupy Wall Street, Black Lives Matter, all basically part of #GIABO (Global Insurrection Against Banker Occupation)?
Yes
60,4%
No
39,6%
647 votos
·
Resultados finais
23
4
17",@realmaxkeiser,13 de jun de 2020,"Are CHAZ, Arab Spring, Occupy Wall Street, Black Lives Matter, all basically part of #GIABO (Global Insurrection Against Banker Occupation)?"
"Max Keiser: Bitcoin God & Sex Symbol
@realmaxkeiser
·
13 de jun de 2020
Capitol Hill Autonomous Zone (CHAZ) 

You can *NEVER* be ‘autonomous’ if you’re using $ dollars 

Wanna be *absolutely* autonomous? 

Use money that is indestructible, unconfiscatable and uncensorable. 

#Bitcoin
8
14
106",@realmaxkeiser,13 de jun de 2020,"Capitol Hill Autonomous Zone (CHAZ) 

You can *NEVER* be ‘autonomous’ if you’re using $ dollars 

Wanna be *absolutely* autonomous? 

Use money that is indestructible, unconfiscatable and uncensorable. 

#Bitcoin"
