Field1,Text,Text1,Text2
"Mayne
@Tradermayne
·
1 h
I fucking hate you all so much.
Comentar o Tweet
Proof of Color
@proofofcolor
 · 1 h
Em resposta a @DiscountGosling @grimace85 e mais 3
Glad to see they could make @Tradermayne 's Make-A-Wish dream come true. Thanks for making this a reality Mo, this community is truly special
8
1
98",I fucking hate you all so much.,@Tradermayne,1 h
"Mayne
@Tradermayne
·
21 h
He 
@loomdart
 and he loomdance
103
45
1,1 mil","He 
@loomdart
 and he loomdance",@Tradermayne,21 h
"Mayne
@Tradermayne
·
21 h
Down astronomically
35
10
755",Down astronomically,@Tradermayne,21 h
"Mayne
@Tradermayne
·
17 de out
Champ champ champ 


@RookieXBT
 so proud of my estranged son.
8
3
378","Champ champ champ 


@RookieXBT
 so proud of my estranged son.",@Tradermayne,17 de out
"Mayne
@Tradermayne
·
16 de out
Legends going at it ! 


@VentureCoinist
 and 
@barneytheboi
33
3
412","Legends going at it ! 


@VentureCoinist
 and 
@barneytheboi",@Tradermayne,16 de out
"Mayne
@Tradermayne
·
16 de out
GIF
Comentar o Tweet
louis (barneytheboi)
@barneytheboi
 · 16 de out
how is he legally allowed to do this to my head what the fuck I paid $50 for this hair cut I can’t believe it
Mostrar esta sequência
15
166",,@Tradermayne,16 de out
"Mayne
@Tradermayne
·
15 de out
Update. They have my money. Reservation disappeared? Someone else booked the room. And they are asking me to leave.
Comentar o Tweet
Mayne
@Tradermayne
 · 15 de out
My reservation was cancelled halfway thru Dubai trip. 

New people showed up to check in this morning while I was attempting to go to bed at 10am. 

Credit card has been charged 3x all money still outstanding. 

Rea life rug.
62
3
303",Update. They have my money. Reservation disappeared? Someone else booked the room. And they are asking me to leave.,@Tradermayne,15 de out
"Mayne
@Tradermayne
·
13 de out
Yo my fellow weebs. 


@Abu9ala7
 says fuck anime
28
5
181","Yo my fellow weebs. 


@Abu9ala7
 says fuck anime",@Tradermayne,13 de out
"Mayne
@Tradermayne
·
13 de out
You ever just long the top
GIF
20
194",You ever just long the top,@Tradermayne,13 de out
"Mayne
@Tradermayne
·
11 de out
Yo 
@cryptoaladeen
 let’s go
24
21
709","Yo 
@cryptoaladeen
 let’s go",@Tradermayne,11 de out
"Mayne
@Tradermayne
·
11 de out
Proof of timbits
Comentar o Tweet
Mayne
@Tradermayne
 · 11 de out
Ordering Tim Hortons in Dubai because we keep it Canadian around here. 

@imBagsy @NekozTek @RookieXBT
36
4
234",Proof of timbits,@Tradermayne,11 de out
"Mayne
@Tradermayne
·
10 de out
Aladeaned
562
134
2,1 mil",Aladeaned,@Tradermayne,10 de out
"Mayne
@Tradermayne
·
10 de out
Dubai is a vibe tho
35
13
522",Dubai is a vibe tho,@Tradermayne,10 de out
"Mayne
@Tradermayne
·
8 de out
Neck made it thru customs.
Comentar o Tweet
Mohammad
@Abu9ala7
 · 8 de out
I’m waiting for @Tradermayne in the arrival lobby of the airport, he’s taking a bit too long

Pretty sure customs confiscated his neck, absolute weapon that one, I should’ve warned him
23
1
243",Neck made it thru customs.,@Tradermayne,8 de out
"Mayne
@Tradermayne
·
8 de out
Eagle has landed! 

Thanks for the scoop 
@Abu9ala7
22
3
402","Eagle has landed! 

Thanks for the scoop 
@Abu9ala7",@Tradermayne,8 de out
"Mayne
@Tradermayne
·
6 de out
#Bitcoin
18
11
167",#Bitcoin,@Tradermayne,6 de out
"Mayne
@Tradermayne
·
6 de out
This wrinkles my brain.
Comentar o Tweet
cobie
@CryptoCobain
 · 6 de jan
I firmly believe that to reach 100-200k per bitcoin we need to absolutely obliterate everybody with a blow off top and longer-than-normal sideways so everyone thinks it is ""over"" and hype dies down.

eg. Blow off top to 50-60k soonish and consolidation/sideways until October.
Mostrar esta sequência
22
22
454",This wrinkles my brain.,@Tradermayne,6 de out
"Mayne
@Tradermayne
·
6 de out
Who trying to help your boy get end game pally gear lol
20
1
74",Who trying to help your boy get end game pally gear lol,@Tradermayne,6 de out
"Mayne
@Tradermayne
·
5 de out
So we're all richer now
Comentar o Tweet
Mayne
@Tradermayne
 · 5 de out
So we’re all deep in #Bitcoin longs ?
11
3
171",So we're all richer now,@Tradermayne,5 de out
"Mayne
@Tradermayne
·
5 de out
Alright, Monday night work done.

Time stamps up on the stream from yesterday and condensed stream w/ time stamps up as well.

Enjoy!
youtube.com
Ethereum and Chill | Condensed (10/03) | Trader Mayne
This $ETH & Chill live stream is in partnership with Bybit!TIMESTAMPS:0:00 - Bitcoin5:31 - IF/THEN Mindset Alpha9:57 - Bitcoin cont...20:12 - Ethereum24:02 -...
8
11
111","Alright, Monday night work done.

Time stamps up on the stream from yesterday and condensed stream w/ time stamps up as well.

Enjoy!",@Tradermayne,5 de out
"Mayne
@Tradermayne
·
5 de out
Highlights from last weeks Altcoin video!

We went 3/3 on the analysis and the $XTZ set up I gave was an absolute ripper. 

Recording this weeks video now, leave some requests of coins you'd like covered below.
48
22
283","Highlights from last weeks Altcoin video!

We went 3/3 on the analysis and the $XTZ set up I gave was an absolute ripper. 

Recording this weeks video now, leave some requests of coins you'd like covered below.",@Tradermayne,5 de out
"Mayne
@Tradermayne
·
4 de out
Me in Dubai
8
5
185",Me in Dubai,@Tradermayne,4 de out
"Mayne
@Tradermayne
·
4 de out
This is hype.
Comentar o Tweet
Depression BTC
@depression2019
 · 4 de out
The day is finally here. After months of work we finally have FTX support on http://insilicoterminal.com

Anyone trading on FTX can now have access to advanced order types such as TWAP, swarm, and limit chase - for free.
Mostrar esta sequência
4
4
66",This is hype.,@Tradermayne,4 de out
"Mayne
@Tradermayne
·
4 de out
$BTC.D 

Putting in a slightly higher low/double bottom at support.
4
4
82","$BTC.D 

Putting in a slightly higher low/double bottom at support.",@Tradermayne,4 de out
"Mayne
@Tradermayne
·
4 de out
If you didn’t catch this when it came out it’s worth a watch now. 

All 3 set ups discuss played out to a tee! 

$XTZ up 60% from the entry trigger discussed in the video.
Comentar o Tweet
Mayne
@Tradermayne
 · 1 de out
Newest episode of the Altcoin Series is up on YouTube.

In this episode I cover the $DXY, $Algo, $DYDX, and $XTZ.

DYDX and XTZ analysis came thru clutch!

Likes and RTs are appreciated.

Vid in partnership with @Bybit_Official and @SensoriumGalaxy 

https://youtu.be/AH-KO1ZEFsc
15
2
115","If you didn’t catch this when it came out it’s worth a watch now. 

All 3 set ups discuss played out to a tee! 

$XTZ up 60% from the entry trigger discussed in the video.",@Tradermayne,4 de out
"Mayne
@Tradermayne
·
3 de out
#Bitcoin 

Potential H12 SFP in the works. 

If this closes as a swing failure at the weekly close the next target is -$1000 per BTC.
33
10
317","#Bitcoin 

Potential H12 SFP in the works. 

If this closes as a swing failure at the weekly close the next target is -$1000 per BTC.",@Tradermayne,3 de out
"Mayne
@Tradermayne
·
3 de out
Here is the link for the stream!

Chat soon.
youtube.com
Ethereum and Chill | Resume Up Only? | Trader Mayne
This $ETH & Chill live stream is in partnership with Bybit!Bybit LaunchpoolFrom 11:00AM UTC on Sept. 28, 2021 to 00:00AM UTC on Oct. 13, 2021, stake BIT to e...
7
6
48","Here is the link for the stream!

Chat soon.",@Tradermayne,3 de out
"Mayne
@Tradermayne
·
2 de out
When the biggest dude in the gym hypes you up
9
6
302",When the biggest dude in the gym hypes you up,@Tradermayne,2 de out
"Mayne
@Tradermayne
·
1 de out
Newest episode of the Altcoin Series is up on YouTube.

In this episode I cover the $DXY, $Algo, $DYDX, and $XTZ.

DYDX and XTZ analysis came thru clutch!

Likes and RTs are appreciated.

Vid in partnership with 
@Bybit_Official
 and 
@SensoriumGalaxy
youtube.com
Altcoin Analysis | Dollar Index, Algo, DYDX, XTZ | Trader Mayne
Another video for the Altcoin series! In this episode we go over the Dollar index and how it can be used to improve your macro analysis on Bitcoin. We also d...
23
28
218","Newest episode of the Altcoin Series is up on YouTube.

In this episode I cover the $DXY, $Algo, $DYDX, and $XTZ.

DYDX and XTZ analysis came thru clutch!

Likes and RTs are appreciated.

Vid in partnership with 
@Bybit_Official
 and 
@SensoriumGalaxy",@Tradermayne,1 de out
"Mayne
@Tradermayne
·
1 de out
#Bitcoin 

Key resistance here for BTC.

Above here I think we get real real spicy.
37
40
485
Mostrar esta sequência","#Bitcoin 

Key resistance here for BTC.

Above here I think we get real real spicy.",@Tradermayne,1 de out
"Mayne
@Tradermayne
·
1 de out
#Bitcoin 

A sacrifice was needed.
27
8
234","#Bitcoin 

A sacrifice was needed.",@Tradermayne,1 de out
