Field1,Text,Text1,Text2
"Tyler Winklevoss
@tyler
·
15 de out
60k down, 61k down, 62k down, next up...let's go bitcoin
340
540
6,8 mil","60k down, 61k down, 62k down, next up...let's go bitcoin",@tyler,15 de out
"Tyler Winklevoss
@tyler
·
15 de out
Congratulations to all the brave ones with conviction
214
510
6,8 mil",Congratulations to all the brave ones with conviction,@tyler,15 de out
"Tyler Winklevoss
@tyler
·
15 de out
60k
277
358
6 mil",60k,@tyler,15 de out
"Tyler Winklevoss
@tyler
·
6 de out
Fortune favors the 
226
328
3,6 mil",Fortune favors the ,@tyler,6 de out
"Tyler Winklevoss
@tyler
·
6 de out
Congratulations to everyone who bought the dip
378
693
10,2 mil",Congratulations to everyone who bought the dip,@tyler,6 de out
"Tyler Winklevoss
@tyler
·
6 de out
Bitcoin up 5%
220
165
2,6 mil",Bitcoin up 5%,@tyler,6 de out
"Tyler Winklevoss
@tyler
·
2 de out
When you realize that Bitcoin solved money, it’s a very powerful thing
450
664
6,5 mil","When you realize that Bitcoin solved money, it’s a very powerful thing",@tyler,2 de out
"Tyler Winklevoss
@tyler
·
29 de set
#cryptocurrencies
340
252
2,5 mil",#cryptocurrencies,@tyler,29 de set
"Tyler Winklevoss
@tyler
·
24 de set
More FUD means buying the dip just got easier
301
405
4,5 mil",More FUD means buying the dip just got easier,@tyler,24 de set
"Tyler Winklevoss
@tyler
·
20 de set
The White House continues to ignore the best entrepreneur of our generation. It snubbed Tesla for a summit on the future of electric cars (an industry it created) and has been silent on SpaceX's successful all-civilian space mission. Does this administration not value innovation?
2,3 mil
3,1 mil
22,4 mil",The White House continues to ignore the best entrepreneur of our generation. It snubbed Tesla for a summit on the future of electric cars (an industry it created) and has been silent on SpaceX's successful all-civilian space mission. Does this administration not value innovation?,@tyler,20 de set
"Tyler Winklevoss
@tyler
·
20 de set
“The root problem with conventional currency is all the trust that’s required to make it work. The central bank must be trusted not to debase the currency, but the history of fiat currencies is full of breaches of that trust.”

-Satoshi Nakamoto
83
378
1,8 mil","“The root problem with conventional currency is all the trust that’s required to make it work. The central bank must be trusted not to debase the currency, but the history of fiat currencies is full of breaches of that trust.”

-Satoshi Nakamoto",@tyler,20 de set
"Tyler Winklevoss
@tyler
·
18 de set
Anxiety is an addiction to what can go wrong
212
385
2,9 mil",Anxiety is an addiction to what can go wrong,@tyler,18 de set
"Tyler Winklevoss
@tyler
·
17 de set
Smooth Love Potion $SLP is now available for trading and custody on 
@Gemini
74
94
446","Smooth Love Potion $SLP is now available for trading and custody on 
@Gemini",@tyler,17 de set
"Tyler Winklevoss
@tyler
·
17 de set
Axie Infinity $AXS is now available for trading and custody on 
@Gemini
61
49
410","Axie Infinity $AXS is now available for trading and custody on 
@Gemini",@tyler,17 de set
"Tyler Winklevoss
@tyler
·
14 de set
Bitcoin is up 5% today
584
236
3,7 mil",Bitcoin is up 5% today,@tyler,14 de set
"Tyler Winklevoss
@tyler
·
8 de set
I just binge purchased 5 Robotos 
@robotosNFT
 on 
@niftygateway
. So sick!
270
103
547","I just binge purchased 5 Robotos 
@robotosNFT
 on 
@niftygateway
. So sick!",@tyler,8 de set
