Field1,Text,Text1,Text2
"Willy Woo
@woonomic
·
13 de out
Been thinking about governance beyond representative democracy...

1) Vote for what we value
2) Design metrics
3) Design incentives

(2) & (3) are roles where scientists replace politicians

(2) is where the corruption would happen
75
57
654
Mostrar esta sequência","Been thinking about governance beyond representative democracy...

1) Vote for what we value
2) Design metrics
3) Design incentives

(2) & (3) are roles where scientists replace politicians

(2) is where the corruption would happen",@woonomic,13 de out
"Willy Woo
@woonomic
·
8 de out
TBF subscribers, 035 just went out. Just an interim update. Pls check your inboxes or spam filters.
23
17
406","TBF subscribers, 035 just went out. Just an interim update. Pls check your inboxes or spam filters.",@woonomic,8 de out
"Willy Woo
@woonomic
·
8 de out
I think the best thing about ETFs apart from their initial reach is the potential to stem BTC’s unit bias problem.

The long term negatives:
Spot ETFs - increased sell pressure from fees.
Futures ETFs - potential for price suppression and more volatility due to futures dominance.
67
101
972","I think the best thing about ETFs apart from their initial reach is the potential to stem BTC’s unit bias problem.

The long term negatives:
Spot ETFs - increased sell pressure from fees.
Futures ETFs - potential for price suppression and more volatility due to futures dominance.",@woonomic,8 de out
"Willy Woo
@woonomic
·
2 de out
Here’s to the crazy ones. The misfits. The rebels. The round pegs in the square holes. The ones who see things differently. They have no respect for the status quo. They change things. The people who are crazy enough to think they can change the world are the ones who do #Bitcoin
154
675
4,1 mil",Here’s to the crazy ones. The misfits. The rebels. The round pegs in the square holes. The ones who see things differently. They have no respect for the status quo. They change things. The people who are crazy enough to think they can change the world are the ones who do #Bitcoin,@woonomic,2 de out
"Willy Woo
@woonomic
·
2 de out
""She broke up with me Dad, there's nobody like her in the world""

GenX Dad to Millenial son: ""This is a human truth, everyone is unique, there will be someone else who's also unique""

Millenial Dad to GenZ son: ""We're all NFTs kid, there's a market, learn to trade it""
76
165
1,7 mil
Mostrar esta sequência","""She broke up with me Dad, there's nobody like her in the world""

GenX Dad to Millenial son: ""This is a human truth, everyone is unique, there will be someone else who's also unique""

Millenial Dad to GenZ son: ""We're all NFTs kid, there's a market, learn to trade it""",@woonomic,2 de out
"Willy Woo
@woonomic
·
29 de set
China topped the world in power and technology, but by the 1400s they burned their ships and ceased interacting with the world. This lead to lost centuries of progress; only now climbing out of.

The Digital Age is here. China has walled the Internet and banned crypto. Deja vu?
262
869
6,3 mil","China topped the world in power and technology, but by the 1400s they burned their ships and ceased interacting with the world. This lead to lost centuries of progress; only now climbing out of.

The Digital Age is here. China has walled the Internet and banned crypto. Deja vu?",@woonomic,29 de set
"Willy Woo
@woonomic
·
28 de set
Wired $16k USD to pay a small bill. Receiving bank blocked it.

Wanted me to provide:
- a police report
- a resume

They say USD is a good medium of exchange, but this is a lie, it's terrible. USD has been weaponised via the banking system, it's now a medium of national defence.
459
1,1 mil
8,5 mil","Wired $16k USD to pay a small bill. Receiving bank blocked it.

Wanted me to provide:
- a police report
- a resume

They say USD is a good medium of exchange, but this is a lie, it's terrible. USD has been weaponised via the banking system, it's now a medium of national defence.",@woonomic,28 de set
"Willy Woo
@woonomic
·
25 de set
It's okay #Bitcoin, don't feel lonely, here's some things that China also banned:

Movies about time travel
Alice in Wonderland
Brad Pitt
Gaming Consoles
Winnie the Pooh
Harrison Ford
The letter 'N'
Avatar 2D (3D was okay though)
Richard Gere
Jasmine flowers
Having a big family
477
1,2 mil
7,7 mil","It's okay #Bitcoin, don't feel lonely, here's some things that China also banned:

Movies about time travel
Alice in Wonderland
Brad Pitt
Gaming Consoles
Winnie the Pooh
Harrison Ford
The letter 'N'
Avatar 2D (3D was okay though)
Richard Gere
Jasmine flowers
Having a big family",@woonomic,25 de set
"Willy Woo
@woonomic
·
23 de set
Pretty sure there's only 100k real people on CryptoTwitter and 5m scam bots.

""We are still early""
212
193
4 mil
Mostrar esta sequência","Pretty sure there's only 100k real people on CryptoTwitter and 5m scam bots.

""We are still early""",@woonomic,23 de set
"Willy Woo
@woonomic
·
22 de set
TBF subscribers issue 033 is out, just a very short update covering this sell-off and breaking down the on-chain fundamentals that are developing.
353
19
553","TBF subscribers issue 033 is out, just a very short update covering this sell-off and breaking down the on-chain fundamentals that are developing.",@woonomic,22 de set
